accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test,tag
0.7890995260663507,0.9280343716433942,0.8120300751879699,0.8661654135338346,0.8453063351447927,0.39875326598050115,AKS,raw,30,1266,original
0.7750571335292197,0.5717852684144819,0.5696517412935324,0.5707165109034268,0.8025647548005878,0.41831866254724054,ARCHDAM,raw,30,3063,original
0.6727732154137713,0.3954512105649303,0.7177097203728362,0.5099337748344371,0.7645088811880915,0.32345061586515483,B2K,raw,30,3166,original
0.48042168674698793,0.9646643109540636,0.44901315789473684,0.6127946127946128,0.7403665413533833,0.1519720780068085,CHE,raw,30,664,original
0.795774647887324,0.7755102040816326,0.5390070921985816,0.6359832635983264,0.8474555182281946,0.5163559958533601,CMD,raw,30,426,original
0.5249266862170088,0.9586973788721207,0.4924520603835169,0.6506738544474393,0.7084679207042878,0.1846281419080075,GAK,raw,30,2728,original
0.5532286212914486,0.4218362282878412,0.8808290155440415,0.5704697986577181,0.7813607853831469,0.27694592958496206,KAL,raw,30,573,original
0.639412997903564,0.38773148148148145,0.821078431372549,0.5267295597484277,0.7915612638238014,0.34548184112121305,KATMOJPRZ,raw,30,3339,original
0.751219512195122,0.7803030303030303,0.824,0.8015564202334631,0.8359,0.4701357853897389,KIEG,raw,30,205,original
0.6873401534526854,0.8404074702886248,0.5561797752808989,0.6693711967545639,0.7641399659920647,0.4258954333342262,KLU,raw,30,1564,original
0.7432646592709984,0.78099173553719,0.6342281879194631,0.7,0.8154160872281677,0.48775809234406814,KUD,raw,30,631,original
0.674364896073903,0.5078740157480315,0.8896551724137931,0.6466165413533834,0.8535919540229884,0.43666330687348653,LUMICE,raw,30,433,original
0.7393225331369662,0.7512953367875648,0.6311207834602829,0.6859846244825547,0.8118336606835228,0.4711965123260752,LUX_A,raw,30,2037,original
0.7276341948310139,0.7345132743362832,0.8412162162162162,0.784251968503937,0.8178123775949864,0.42667664074066,MKW,raw,30,503,original
0.7196969696969697,0.8888888888888888,0.7046632124352331,0.7861271676300579,0.8166824782894256,0.4178930567450505,MOR,raw,30,264,original
0.7422586520947176,0.6199376947040498,0.9107551487414187,0.7377201112140871,0.8841502888972744,0.5380023638919574,OST,raw,30,1098,original
0.7606060606060606,0.6693548387096774,0.7697063369397218,0.7160316319194824,0.8336135334337019,0.5145761016089583,OTW,raw,30,1650,original
0.4742857142857143,0.9371816638370118,0.47627264883520276,0.631578947368421,0.4697100426177216,-0.03810896473493864,PIO,raw,30,1225,original
0.7417929292929293,0.6926829268292682,0.783448275862069,0.7352750809061489,0.830205130263739,0.4886325726889502,PRZ,raw,30,1584,original
0.7679558011049724,0.77734375,0.8805309734513275,0.8257261410788381,0.8571382092660073,0.491067160259282,PUS,raw,30,362,original
0.6785714285714286,0.7215189873417721,0.7125,0.7169811320754716,0.8025,0.34515089684413136,SL2,raw,30,140,original
0.7271499324628545,0.8895622895622896,0.7492909812819059,0.8134236453201971,0.7765222538992933,0.3362554633715857,SLU,raw,30,2221,original
