mcc_overall,mcc_AKS,mcc_ARCHDAM,mcc_B2K,mcc_CHE,mcc_CMD,mcc_GAK,mcc_KAL,mcc_KATMOJPRZ,mcc_KIEG,mcc_KLU,mcc_KUD,mcc_LUMICE,mcc_LUX_A,mcc_MKW,mcc_MOR,mcc_OST,mcc_OTW,mcc_PIO,mcc_PRZ,mcc_PUS,mcc_SL2,mcc_SLU,mcc_SRK,mcc_STG1,mcc_SZC,mcc_TER_L,mcc_TOR,mcc_WLU,mcc_Z04O,mcc_ZOZLO,method,fold,tag
0.23573042546114364,-0.0018131844979539945,0.3841370904477058,0.40142078015123256,-0.001099247379238369,0.04059057244593018,0.11169704996698072,0.0752410667217556,0.3090166675449132,0.0,0.01971216924678071,-0.0036218710975566885,-0.005252681847857908,0.050987085693845795,0.14523216859398078,-0.0011926389645011341,0.012622599594883783,0.1449532175053453,-0.000843243731455019,0.06163443527726368,0.17355263261190879,0.0,0.2451241220168494,0.08476036052222424,0.1780728196721415,0.306812782497147,0.03936406718440887,0.1302229251198676,0.06101824802332464,0.12898788011294385,0.1540592152754092,raw,1,dann_final
0.2233332574490388,0.0,0.36655683089832286,0.3791897509491595,-0.0013855900021265087,-0.0021253733478729013,0.04098075694543782,0.03825931671219149,0.31785119788725824,-0.0008845685913894489,0.021138818833047697,0.1404540179453228,-0.004253149378949856,0.0677108135896472,-0.0018329610417215584,0.31569153390345017,0.011702745820709154,0.18727689301452813,0.0,0.05554555113838138,-0.001084498556370572,0.0,0.18669326514411222,-0.0021926425308837934,0.1887104754101457,0.277703330204432,0.06305106941426891,0.06038569887373679,0.0696296606141777,0.08691724271121061,0.06042094255087821,raw,2,dann_final
0.21457106456039293,0.0,0.3328270974103194,0.3802604101156014,0.17070665183466438,-0.0026032851572691234,0.1165884414877555,0.07361964063000802,0.3317153175032523,0.0,0.0891072490887353,-0.0032391949399245613,0.09248483334635332,0.041094473732841884,-0.003209891549266429,-0.0008641493197630073,-0.010527950444285223,0.13558438191442604,-0.0014236928203458375,0.033006157574037076,0.0,-0.0007998201779814314,0.1706514263838175,0.0,0.15524080428690107,0.25936063726676806,0.1070397224570902,0.11654589749866698,0.03729033891236986,0.09369254134782491,0.05159934940953911,raw,3,dann_final
0.22537676065760875,0.0,0.3383793122398621,0.38575328757318184,0.24217008507721918,0.07059132062071338,0.14374096464821906,0.03601386718162538,0.2954133707987174,0.0,0.054073776028641725,0.12139897359335854,0.04765740334818882,0.05698138684228651,-0.0026208674910384745,0.15724928447244022,-0.009819265884220163,0.1518568562509001,0.0,0.09115885555913392,0.0,0.0,0.2231918910906536,-0.0026861893631725487,0.25101509779730213,0.2813142899365585,0.04861204459131867,0.07478442448977163,0.06433271878882109,0.13091461590268771,0.11088098436336026,raw,4,dann_final
0.23314496120564152,-0.0018333076417437612,0.4127076064150414,0.40702036005810815,0.24217008507721918,0.060387917428545386,0.07992544891799279,0.11069335875606175,0.29794714079081663,0.0,0.05709271587500037,-0.0022745003892350657,0.06437573719154893,0.07098503522885949,-0.003431420162350264,0.0,0.01262094593851262,0.1151801044934789,-0.0008219696815163016,0.14004081089975284,-0.0010847033351572238,0.0,0.252493181592496,-0.0027064192693299423,0.26898431525593425,0.28590031395268645,0.06077654552714121,0.056993176382199695,0.051137186113755416,0.07700472581632171,0.05196656184758647,raw,5,dann_final
0.2451710206826194,-0.0018131844979539945,0.3622611762037431,0.4041987127742193,-0.0007772121232420385,-0.0026032851572691234,-0.0036230254537181115,0.03217300747947696,0.45028956663424136,0.0,0.01627258150012097,0.09233565893992965,-0.005028585795979941,0.09072033470651011,-0.001295977202186652,-0.000843243731455019,0.013614496330904448,0.15947609675381014,0.0,0.10408985213006788,-0.0018787602493601787,0.0,0.0836989249532562,0.0,0.19766120557812453,0.27548211169242076,0.10063006385817573,0.17112078464534763,0.015148706350612773,0.19021246749721354,0.05702013427720251,raw,1,dann_best
0.24125583045923313,0.0,0.38492838932708345,0.4114602240247339,0.0,-0.0015027244672867531,0.03814342559092569,0.023349442686744114,0.40107964886151354,0.0,0.029983223202645622,0.052529910176456564,0.05334583140050382,0.08940867781345742,-0.002245120970648228,-0.000843243731455019,0.01928111444076718,0.14324707071848555,0.0,0.08327258532344554,0.0,0.0,0.10561116471786745,-0.0021926425308837934,0.18412695958000408,0.2636968182433749,0.07666885095377596,0.2039450300535217,0.06688012381310918,0.19021246749721354,0.21902214190033345,raw,2,dann_best
0.23359855846440666,-0.0018131844979539945,0.34220259408157416,0.3922040847831254,0.0,-0.0026032851572691234,0.08618037139293815,0.026208165210219802,0.4208387911972383,0.0,0.043462207251064026,0.08486129917385735,-0.003978082098973888,0.055793039972500784,0.14369772772519676,-0.0012222067137317208,0.04194046262523541,0.17419595244484531,0.0,0.04730047513058936,0.0,0.0,0.12418199042326324,-0.0015502864861226561,0.13879858104027942,0.26231635233348793,0.04861475510835528,0.15735059944098453,0.06993516256510758,0.15337557815637237,0.16042917322473016,raw,3,dann_best
0.2436094678623373,-0.0012962222393786019,0.3867127604653628,0.4202466954366851,0.0,0.053345263674419524,0.10158273827897188,0.04884970772282847,0.3971844081233345,0.0,0.014911089302962144,0.09304545634646015,0.037406932754109466,0.05025113495661728,0.1006926757562925,-0.0008434027595432606,0.009180125800893061,0.17142572791226246,0.0,0.048549991919496466,0.0,0.0,0.1586595801611471,-0.0021930579378455603,0.17797905400196093,0.285977516625652,0.06550939097958294,0.1703920366912463,0.004332769339139369,0.1598668387867033,0.10720725732907264,raw,4,dann_best
0.24156966934897614,0.0706916559376603,0.36156058802937935,0.40950326706971785,0.0,0.060387917428545386,0.07282789944040842,0.020984290379969583,0.432102359497554,0.0,0.045321090246011796,0.044528217526431026,-0.002624611741887827,0.09512850229340716,-0.0018333076417437612,0.15724928447244022,0.029863698388602117,0.17061052978096564,0.0,0.07292154457505103,-0.0010847033351572238,0.0,0.13577580498273326,-0.0015622577108941587,0.1766012592870961,0.26951432602020226,0.09834929273780865,0.16174729546806385,0.0003514744171837901,0.14278429741197823,0.10219294579581215,raw,5,dann_best
