accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test,tag
0.7875197472353871,0.917981072555205,0.8204887218045113,0.8665012406947891,0.7936611330305963,0.36790941103088554,AKS,raw,30,1266,dann_final
0.7179236043095005,0.476038338658147,0.7412935323383084,0.5797665369649806,0.787059611195902,0.4035566932126577,ARCHDAM,raw,30,3063,dann_final
0.7678458622867972,0.5075614366729678,0.715046604527297,0.593698175787728,0.8000628561503916,0.450269020488708,B2K,raw,30,3166,dann_final
0.5421686746987951,0.9871794871794872,0.506578947368421,0.6695652173913044,0.7769325657894737,0.2422905844028067,CHE,raw,30,664,dann_final
0.8004694835680751,0.6891891891891891,0.723404255319149,0.7058823529411765,0.8475301729501058,0.5554124660884445,CMD,raw,30,426,dann_final
0.7609970674486803,0.9389946315275745,0.7849857201142391,0.8551111111111112,0.7404227553183185,0.23312601960061166,GAK,raw,30,2728,dann_final
0.6230366492146597,0.4668587896253602,0.8393782383419689,0.6,0.7476274884101446,0.3409220822557607,KAL,raw,30,573,dann_final
0.6145552560646901,0.3745338305807139,0.8615196078431373,0.5220943186037876,0.8056449293946671,0.34317287149786435,KATMOJPRZ,raw,30,3339,dann_final
0.7317073170731707,0.7777777777777778,0.784,0.7808764940239044,0.8203,0.43500165704455074,KIEG,raw,30,205,dann_final
0.7007672634271099,0.7963483146067416,0.6370786516853932,0.7078651685393258,0.7671473343780215,0.41958613270672523,KLU,raw,30,1564,dann_final
0.7496038034865293,0.74822695035461,0.7080536912751678,0.7275862068965517,0.8177539956063445,0.49688764580467915,KUD,raw,30,631,dann_final
0.6651270207852193,0.5,0.9379310344827586,0.6522781774580336,0.8593151340996168,0.45477576261798774,LUMICE,raw,30,433,dann_final
0.7677957781050565,0.7488839285714286,0.7301414581066377,0.7393939393939394,0.8460088258023324,0.5302083307944996,LUX_A,raw,30,2037,dann_final
0.7813121272365805,0.7751479289940828,0.8851351351351351,0.8264984227129337,0.8508780519650085,0.5429354577977895,MKW,raw,30,503,dann_final
0.7954545454545454,0.8677248677248677,0.8497409326424871,0.8586387434554974,0.7928920674304898,0.4892730872519576,MOR,raw,30,264,dann_final
0.7632058287795993,0.6472545757071547,0.8901601830663616,0.7495183044315993,0.8675503795995942,0.5599760084804017,OST,raw,30,1098,dann_final
0.7545454545454545,0.6571428571428571,0.7820710973724884,0.7141848976711362,0.8299953308544228,0.5077696152021326,OTW,raw,30,1650,dann_final
0.6342857142857142,0.9449311639549437,0.6514236410698878,0.7711950970377937,0.5090987528433604,-0.007226145059548861,PIO,raw,30,1225,dann_final
0.7582070707070707,0.7192307692307692,0.7737931034482759,0.7455149501661129,0.8488651599694913,0.5170449556656057,PRZ,raw,30,1584,dann_final
0.7845303867403315,0.8162393162393162,0.8451327433628318,0.8304347826086956,0.8380075481520042,0.5358343266096622,PUS,raw,30,362,dann_final
0.7,0.6862745098039216,0.875,0.7692307692307693,0.8002083333333333,0.38021683745101575,SL2,raw,30,140,dann_final
0.7915353444394417,0.855191256830601,0.8876914350538854,0.8711383245198998,0.7517963871626123,0.32834337737315705,SLU,raw,30,2221,dann_final
0.7402061855670103,0.6255924170616114,0.7374301675977654,0.676923076923077,0.8237758790667105,0.4664897592237422,SRK,raw,30,485,dann_final
0.728449221320465,0.8902439024390244,0.7490293954520244,0.8135542168674699,0.7773071463615207,0.3443889175380945,STG1,raw,30,4559,dann_final
0.7598545732874091,0.6927312775330396,0.7382629107981221,0.7147727272727272,0.8231009495820746,0.5085328060199199,SZC,raw,30,10452,dann_final
0.5868686868686869,0.445364238410596,0.7842565597667639,0.5681098204857444,0.6854466228973374,0.2599892019586109,TER_L,raw,30,990,dann_final
0.5333333333333333,0.31715210355987056,0.9423076923076923,0.4745762711864407,0.8253116343490305,0.3157864815787312,TOR,raw,30,930,dann_final
0.6646023468057366,0.894478527607362,0.629805615550756,0.7391634980988593,0.7645449877953987,0.3461480734212393,WLU,raw,30,3068,dann_final
0.6927788523533205,0.7556306306306306,0.7211176786673831,0.7379708551003574,0.7536944127757468,0.3677963322342191,Z04O,raw,30,3102,dann_final
0.8140747176368376,0.8293333333333334,0.8785310734463276,0.8532235939643347,0.8914023542615194,0.6020981210025468,ZOZLO,raw,30,1151,dann_final
0.7788309636650869,0.9066390041493776,0.8214285714285714,0.8619329388560157,0.7767019653093128,0.3229671637913795,AKS,raw,30,1266,dann_best
0.7221678093372511,0.48,0.7014925373134329,0.5699848408287014,0.7806265265086695,0.3899981096581686,ARCHDAM,raw,30,3063,dann_best
0.7710044219835754,0.513184584178499,0.6737683089214381,0.5826137017846862,0.7967375452467793,0.43633000855837384,B2K,raw,30,3166,dann_best
0.5301204819277109,0.9774193548387097,0.49835526315789475,0.6601307189542484,0.7454769736842106,0.20796277462624327,CHE,raw,30,664,dann_best
0.7746478873239436,0.6691729323308271,0.6312056737588653,0.6496350364963503,0.824735597859898,0.48420197203685683,CMD,raw,30,426,dann_best
0.7232404692082112,0.9389233954451346,0.7401060791513668,0.8277435546429386,0.7344029623214278,0.20870736250341818,GAK,raw,30,2728,dann_best
0.5846422338568935,0.4373259052924791,0.8134715025906736,0.5688405797101449,0.7353558767384784,0.27542283745862095,KAL,raw,30,573,dann_best
0.6463012878107218,0.3950546290971823,0.8419117647058824,0.5377690802348336,0.7967454322196575,0.3655354831992356,KATMOJPRZ,raw,30,3339,dann_best
0.7170731707317073,0.7863247863247863,0.736,0.7603305785123967,0.7668,0.4173679995022942,KIEG,raw,30,205,dann_best
0.6975703324808185,0.7991391678622669,0.6258426966292134,0.7019533711405167,0.7606841596372487,0.41658901234737467,KLU,raw,30,1564,dann_best
0.757527733755943,0.7911646586345381,0.6610738255033557,0.720292504570384,0.8156982485841545,0.5157265177896392,KUD,raw,30,631,dann_best
0.6674364896073903,0.5017921146953405,0.9655172413793104,0.660377358490566,0.8637452107279694,0.4760532334197713,LUMICE,raw,30,433,dann_best
0.7692685321551301,0.767580452920143,0.7007616974972797,0.732650739476678,0.8428748289441155,0.5321550601579694,LUX_A,raw,30,2037,dann_best
0.7614314115308151,0.7573099415204678,0.875,0.8119122257053292,0.838963963963964,0.5000510706922028,MKW,raw,30,503,dann_best
0.7537878787878788,0.867816091954023,0.7823834196891192,0.8228882833787466,0.8244909873750275,0.42883895034985453,MOR,raw,30,264,dann_best
0.7577413479052824,0.6422628951747088,0.8832951945080092,0.74373795761079,0.8673288166809181,0.5487618493051917,OST,raw,30,1098,dann_best
0.7842424242424243,0.6995884773662552,0.7882534775888718,0.7412790697674418,0.8495286936716897,0.5602916773997182,OTW,raw,30,1650,dann_best
0.6342857142857142,0.9449311639549437,0.6514236410698878,0.7711950970377937,0.5052291683007818,-0.007226145059548861,PIO,raw,30,1225,dann_best
0.7550505050505051,0.721419185282523,0.7572413793103449,0.7388963660834454,0.8458881618562081,0.509003069508993,PRZ,raw,30,1584,dann_best
0.7430939226519337,0.7649402390438247,0.8495575221238938,0.8050314465408805,0.838170223841749,0.4366574355833581,PUS,raw,30,362,dann_best
0.6642857142857143,0.6666666666666666,0.825,0.7374301675977654,0.7829166666666668,0.2990499863048703,SL2,raw,30,140,dann_best
0.8036920306168392,0.8468374281233665,0.9188882586500283,0.8813928182807399,0.7671037607095884,0.32678649483394384,SLU,raw,30,2221,dann_best
0.7237113402061855,0.6119402985074627,0.6871508379888268,0.6473684210526316,0.8010187315149523,0.4234127229738631,SRK,raw,30,485,dann_best
0.7139723623601667,0.8888513513513514,0.7296173044925125,0.8014011574779165,0.770263388697513,0.3275391570226405,STG1,raw,30,4559,dann_best
0.7508610792192881,0.6845742309407045,0.7208920187793427,0.702263892064944,0.8195233361842026,0.488811917744783,SZC,raw,30,10452,dann_best
0.598989898989899,0.4524647887323944,0.749271137026239,0.5642151481888035,0.6871409195164044,0.25844038823081134,TER_L,raw,30,990,dann_best
0.5279569892473118,0.3175355450236967,0.9663461538461539,0.4780023781212842,0.8244726187939484,0.32891046123636825,TOR,raw,30,930,dann_best
0.6769882659713168,0.8835457705677868,0.6587473002159827,0.7547636723583272,0.749793339242024,0.3399048980849189,WLU,raw,30,3068,dann_best
0.7037395228884591,0.7376387487386479,0.7855991402471789,0.760863908404892,0.765397806712359,0.37391220037491274,Z04O,raw,30,3102,dann_best
0.8245004344048653,0.8320209973753281,0.8954802259887006,0.8625850340136054,0.8995453444032089,0.6239165318075054,ZOZLO,raw,30,1151,dann_best
