mcc_overall,mcc_AKS,mcc_ARCHDAM,mcc_B2K,mcc_CHE,mcc_CMD,mcc_GAK,mcc_KAL,mcc_KATMOJPRZ,mcc_KIEG,mcc_KLU,mcc_KUD,mcc_LUMICE,mcc_LUX_A,mcc_MKW,mcc_MOR,mcc_OST,mcc_OTW,mcc_PIO,mcc_PRZ,mcc_PUS,mcc_SL2,mcc_SLU,mcc_SRK,mcc_STG1,mcc_SZC,mcc_TER_L,mcc_TOR,mcc_WLU,mcc_Z04O,mcc_ZOZLO,method,fold
0.8561195767634584,0.5703813055548974,0.8516875708087847,0.9349335341915788,0.5994607990471291,0.13982823268978287,0.7001302068329347,0.9307930793821583,0.91525401771903,0.5266353433942949,0.7889710416750608,0.9370954492945007,0.9607936856551094,0.8551852481405077,0.7823969558892843,0.9485041490926234,0.7692261096420613,0.8377828469148141,0.38667798545082743,0.7943445421559298,0.9212202789122785,0.4802543884673486,0.9087552372332858,0.7315914655048837,0.9216350981733559,0.8828473561831439,0.6947456172592106,0.9359981986852419,0.8069818560092373,0.9037833589882615,0.7917836899191033,raw,1
0.8631221315739266,0.618608813509519,0.8648058810451957,0.9565926515268683,0.407671369514555,0.14802601085187278,0.7915484465238054,0.9388736617749275,0.901519780542631,0.25963876187942353,0.8024308353691557,0.9015320330552747,0.9255735934401015,0.8682088735333356,0.8160449994178677,0.9498111069134869,0.809625054096113,0.8527720220183774,0.6521143336024667,0.8132280838159722,0.9531918858125361,0.533665760523565,0.9007552981221939,0.7853041519970595,0.8764472174525121,0.8878595557272937,0.6794864240335065,0.9328938200860395,0.812763300633539,0.9260172831106661,0.8101741028735494,raw,2
0.8681401874959372,0.5508444684937963,0.8649006283197255,0.9486201200474219,0.2792378459125148,0.19582896572252453,0.7165865409651682,0.8860670306423682,0.9224640851243178,0.3803781876517137,0.8635484663469546,0.9583316997435918,0.928306329079199,0.8648220628370109,0.7638408613637847,0.9255578401667686,0.8286680975636844,0.8457235319250335,0.5123123452450873,0.8884093712705603,0.8572770651117633,0.5674357379215725,0.8551681666513292,0.7846409838835237,0.9448127763709505,0.8922049374041132,0.6693539000472747,0.9415035550662626,0.8150843598691602,0.9054019328168054,0.7987027460878131,raw,3
0.8681812899415086,0.4928295919341464,0.8710817416321359,0.9398089393883028,0.4844769958561615,0.14802526792637452,0.7790035194405538,0.9518950138514536,0.9310913105020925,0.21195399889195493,0.8191306963206246,0.9067729451512881,0.9267578566683913,0.8506847085807754,0.8407922038162301,1.0,0.7828075044866712,0.8480582112632311,0.65211417996339,0.8734036181458547,0.925004058125874,0.49896248618841105,0.9194565153563486,0.8269653193255674,0.9213226283608276,0.8963053461434405,0.7125652361189808,0.925521530855752,0.7637352223110773,0.9230949979082166,0.7749678051824868,raw,4
0.8675058591041823,0.4573430646016242,0.8735116461204903,0.9593797326624814,0.17070650254392475,0.16461999584229,0.7790035194405538,0.9628411300362286,0.9305463736689932,0.24523124846379382,0.8123254499395179,0.9436812313171786,0.9096059341678822,0.8743660791175851,0.8215323429003443,0.9745873750299727,0.8000942228444862,0.8090786714754212,0.6119702001931978,0.797049323989041,0.7840473826188696,0.6527456497992876,0.8774898296551115,0.8607673290409639,0.9246889598351795,0.8973987712643303,0.6989046274065784,0.9451394922339756,0.7836050870498651,0.9113014968677893,0.8135562635755119,raw,5
0.9869241818862493,0.9665663843411885,0.9964202444176412,0.9781232350057889,1.0,0.9839365442107777,0.9832827686874102,0.9937887670431241,1.0,0.768053285695829,0.9714805690865385,1.0,0.9920622640275581,0.9706656788781209,0.8984049478520456,0.9216933304691839,0.9852519431968979,1.0,0.8361863112786595,0.997105707286598,0.9370820456299254,1.0,0.9841317121821759,0.9847738840228888,0.9921806857580544,0.9968615122938966,0.9925354374926435,0.9896819743251601,0.9836474282620675,0.9918255220679945,0.9508499216907443,sitewise,1
0.9867136885781889,1.0,1.0,0.9813247262104061,0.9717335779194137,0.9839365442107777,1.0,0.987540864518957,0.9956940621157431,0.8786340944134376,0.9600737663078531,1.0,0.9591659727805201,0.9773813361142318,0.9561377162085445,0.8656167277181798,0.9666461964546342,0.9925397969544701,0.7941946242285245,0.985688024501222,0.9370820456299254,0.8815842419651918,0.9790521041002739,0.9694300584824405,0.989562567911127,0.998428214096199,0.9962205534497393,0.9931186645584896,0.9803099861791962,0.9918255220679945,0.9892281661177933,sitewise,2
0.9860908384076044,0.9668076800843507,0.9964131599357301,0.9845538088785611,0.9700509383972024,0.9507722898217986,1.0,1.0,0.9946065035510587,0.7378521356954971,0.9716716694918303,1.0,0.9595554178402862,0.9753235218248041,0.96797015320648,0.8446756397275681,0.9666461964546342,0.9974839630499275,0.9732366296473469,1.0,0.9846387076017807,0.8494357003528489,0.9575807877617831,0.9537379899673479,0.989562567911127,0.9968615122938966,1.0,0.9931186645584896,0.9805143531051969,0.9898484225606055,0.9730801324343238,sitewise,3
0.9846320635122263,0.9892105854965475,0.9976134694933413,0.9856360960341675,0.9700509211108006,0.9601842059921202,0.9832827330602697,0.9876137100120762,0.9956719481997125,0.8251771490372951,0.9704836587571506,1.0,0.9678771214445958,0.9661884202767401,0.9351138701651063,0.7740119575754129,0.9633451314017594,0.9949858097527092,0.8267018497387494,0.9829857345026112,0.9545925067326166,0.8815841791373801,0.9683931923079498,0.9694299863995963,0.9921152683623587,0.9968630721737046,0.9887841475177417,1.0,0.9711626132492232,0.991825444515897,0.9781701095403145,sitewise,4
0.9835919896074177,0.9791932293432851,0.9988072017574025,0.9834740391784508,0.9391591196961534,0.9421811300628065,1.0,1.0,0.9989151435312703,0.8251771490372951,0.9600735607636768,0.9714546730344173,0.9431006603717375,0.9576398154183487,0.8864208586252761,0.9216932811579577,0.9628019323671497,0.9949732341036689,0.945726678564466,1.0,0.9370819784671472,0.8815841791373801,0.9788384260637982,0.9851034598777547,0.981713717753202,0.9927118605878233,0.9886472660662013,0.993183760080671,0.9871163856038943,0.9878078968772679,0.9726266832906979,sitewise,5
