fold,mcc_overall,fit_secs,mcc_H1,mcc_H2,mcc_H3,mcc_H4,mcc_H5,mcc_H6,mcc_H7,mcc_H8,mcc_H9,mcc_H10,mcc_H11,mcc_H12,mcc_H13,mcc_H14,mcc_H15,mcc_H16,mcc_H17,mcc_H18,mcc_H19,mcc_H20,mcc_H21,mcc_H22,mcc_H23,mcc_H24,mcc_H25,mcc_H26,mcc_H27,mcc_H28,mcc_H29,mcc_H30,condition,group,seed,n_features,model,task
0,0.8285056535479646,83.41,0.8780130353581131,0.9144110090241506,0.9065956523559643,0.8750286374695763,0.8924424139359404,0.755005716827424,0.84895084884731,0.7237623249275985,0.8037329836566242,0.8028861617018858,0.7816890385984714,0.783801290470851,0.7970384610041298,0.3460991731067219,0.7601173880909219,0.7546022868610655,0.7317647407686948,0.5574747586992561,0.9018312430240323,0.36506313725380185,0.935302843421535,0.9043457200932387,0.7160977088199032,0.806775425079593,0.8372569413577432,0.32993331717473623,0.8906494122331123,0.9459909954015426,0.31072154085399323,0.5310273029880143,full_coh,coh,42,2394,logreg,site
1,0.8242558690487445,50.27,0.8647078148881867,0.9050334893005926,0.8985164654241807,0.8862255761525233,0.896946460135537,0.7544300030948077,0.8298019436952329,0.5712861104699143,0.8626996141371648,0.8076248743282067,0.7362195656277992,0.798139717851781,0.7821804680542787,0.3708454651383485,0.7790566017590443,0.7473937273509295,0.6971668710238977,0.4990061163232213,0.9069398322187849,0.5674579560357416,0.9163356326836278,0.9220591929015148,0.7731540012164054,0.795044210393341,0.8764198893618347,0.25766952101412394,0.9051473251799683,0.9728206500483728,0.3656904195346184,0.5318704999349755,full_coh,coh,42,2394,logreg,site
2,0.8186313908338136,63.84,0.8693603939743091,0.8943894100791815,0.8927662764791566,0.8836216455366799,0.8961266459501788,0.706412093770936,0.8190631392847846,0.629446101542705,0.81531311107771,0.8118625759307024,0.7273218010168673,0.7956468072433929,0.8022847428616415,0.33510714549834636,0.7519726126498886,0.7720524012995895,0.6943055986503482,0.5397112150795409,0.898796493888141,0.560503916427198,0.890989956213367,0.8396558054194844,0.767425869369834,0.780396849218465,0.8666536229038443,0.2817165194009901,0.9590813414287855,0.9347638659054756,0.3903847609497061,0.49406665259319854,full_coh,coh,42,2394,logreg,site
3,0.8211743899770882,57.14,0.8721955208772455,0.8984441501544085,0.897323628929015,0.8766697390401216,0.8924902497409856,0.7565100606705996,0.8450808193581101,0.5109624765978067,0.8360239091505368,0.8035638832107463,0.7518641846330738,0.811176675344817,0.7854685585708213,0.3216006977426122,0.7554464152384269,0.7454807689340299,0.7608523970257612,0.3805097645337107,0.8858455123110565,0.4191069805131926,0.9339178020313835,0.8970552587256823,0.7821340399658849,0.7192509480198909,0.880276361464331,0.2758100816404229,0.8705332552176013,0.9608924532407055,0.3785696706885606,0.4638196394989779,full_coh,coh,42,2394,logreg,site
4,0.82704705277202,58.82,0.87516791964034,0.9062377295878667,0.897249969110913,0.8892437193586493,0.890966901586361,0.7452012703314053,0.8481336257853119,0.526018012510116,0.817282530062875,0.8412417664901861,0.7641691315991462,0.7956468072433929,0.7793431241011092,0.3381470221879143,0.7314592960271585,0.751158640060913,0.7649059769295821,0.5071481325138307,0.9116484379780779,0.5253956571348336,0.9559654548637577,0.8962160680601392,0.7958710757527686,0.6734039467835595,0.8924917315371164,0.33923303913232505,0.9038671915970974,0.9315363939215897,0.24748486699920405,0.4527217463387676,full_coh,coh,42,2394,logreg,site
0,0.5324920728973802,51.75,0.602947229856197,0.6919423085405455,0.5785150103283185,0.7963716333478483,0.6461516769976983,0.3287679704751413,0.6277729082636365,0.2813034405237553,0.48380571924346816,0.40058962363051204,0.4462221677671749,0.3963913068432852,0.3583034496361984,0.1268209877482141,0.3766539274871288,0.2875832315293491,0.2948818175613056,0.16930392586406157,0.44851733932155785,0.08475506606303723,0.3161212314469886,0.5266955893913949,0.32498076029782014,0.4022958324896858,0.6139425079773181,0.11939810391555278,0.3116224636151585,0.5653410414482737,0.06101237976396777,0.07353548634820521,full_pow,pow,42,266,logreg,site
1,0.5362984715860987,53.19,0.6129189823067819,0.6780126479043335,0.5652841950826271,0.7754894646508138,0.6444835580283633,0.3388895042348344,0.6363905980622587,0.2872769441448632,0.5204784194204548,0.3973134400906326,0.39464110135102004,0.4041651198690637,0.3676063789637363,0.17212918317820633,0.37900097904671753,0.3649325265136365,0.3760121080114774,0.15945552825913595,0.438858037563935,0.22322514507070965,0.3626566887990808,0.5766178166721087,0.3724725505350904,0.43791777410480204,0.44983909981921655,0.03522327666375904,0.542382730817797,0.5728493637250929,0.0967332946009514,-0.0017439486587719313,full_pow,pow,42,266,logreg,site
2,0.5356780606744336,54.17,0.59370183644493,0.681712261729541,0.5597748042524916,0.8036517748229082,0.6461953162576584,0.3007611106215059,0.6249939090867008,0.09507944044853361,0.5581382984718697,0.4212671793283969,0.4552246225018279,0.3791094865724542,0.39471767804676033,0.1961416333636708,0.4221012067219924,0.34064036344659165,0.3271876739508095,0.18920708713075146,0.4668285620485115,0.19367954566503637,0.3983201872426483,0.5434862422171332,0.28097769047461607,0.49265909977957295,0.6057344917543639,0.11450937252227023,0.4273175473319404,0.568963643212257,-0.0015482090856415737,-0.0023622131366531577,full_pow,pow,42,266,logreg,site
3,0.543335386657572,53.19,0.596508973758426,0.7036765596336814,0.5918970076057711,0.7667317750723357,0.6607409110248206,0.360161569621702,0.6655219488117046,0.18478274641372042,0.5162032754455295,0.43012815248437636,0.4168583168402622,0.46059421376573617,0.38738441109550414,0.14558816611920644,0.37965351721017887,0.36262907401862277,0.2928782774545174,0.1565011415310613,0.41560169489949444,0.13143133170712698,0.3913676510030521,0.5365961492563004,0.45355206899615724,0.4300413447848777,0.6038556002506028,0.1817477598542678,0.43665649564202824,0.541319386117181,-0.002792979152946181,0.13291549721981882,full_pow,pow,42,266,logreg,site
4,0.5313681814074598,52.74,0.596757155173735,0.6724708631857281,0.5636661339761476,0.7951953223242795,0.6312527338247923,0.34816212777863303,0.6197345712129422,0.22245368301071955,0.45626792843511005,0.4523460738138585,0.40270622511953635,0.39856316447738727,0.3739514779976898,0.1535796019757256,0.34568731255484025,0.35344901436295995,0.354109367850805,0.19851668577700893,0.4463547967461919,0.206903017367247,0.40525945799019575,0.5855952923123324,0.24119093197461738,0.4727509158291915,0.5059718473614152,0.04592420910067092,0.4005204701689856,0.559766133723104,-0.001518028493822369,-0.002665542529404139,full_pow,pow,42,266,logreg,site
