hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H3,0.6954914935008611,0.1963655215418866,17.01,full_cov,cov,42,190,catboost,patho
H4,0.8018057513359906,0.37634453137174695,15.58,full_cov,cov,42,190,catboost,patho
H5,0.7500738188976378,0.3538927329158263,16.24,full_cov,cov,42,190,catboost,patho
H6,0.7036846013733137,0.26228928765267007,17.65,full_cov,cov,42,190,catboost,patho
H7,0.8052173673398868,0.44838441656789224,17.88,full_cov,cov,42,190,catboost,patho
H8,0.6699540908345629,0.12497994835151804,18.61,full_cov,cov,42,190,catboost,patho
H9,0.7140053739093681,0.272082651591534,16.53,full_cov,cov,42,190,catboost,patho
H10,0.757314900487277,0.35755966249730103,15.5,full_cov,cov,42,190,catboost,patho
H11,0.8379300197752302,0.4456060583418173,20.82,full_cov,cov,42,190,catboost,patho
H12,0.7698470860216678,0.3967598197533223,20.25,full_cov,cov,42,190,catboost,patho
H13,0.7780345191969003,0.3891317632644966,13.04,full_cov,cov,42,190,catboost,patho
H14,0.7923552896859084,0.3748055638141035,16.63,full_cov,cov,42,190,catboost,patho
H15,0.6434293604865657,0.20372474519860978,7.93,full_cov,cov,42,190,catboost,patho
H16,0.8370450841933733,0.4857822533464513,7.47,full_cov,cov,42,190,catboost,patho
H17,0.8148545028476507,0.4386295358806877,6.15,full_cov,cov,42,190,catboost,patho
H18,0.7569488413321515,0.3973517938686645,8.49,full_cov,cov,42,190,catboost,patho
H19,0.7881019192494603,0.3239244108750473,6.42,full_cov,cov,42,190,catboost,patho
H20,0.7112826841333628,0.24761487092095658,6.28,full_cov,cov,42,190,catboost,patho
H21,0.7316606140640476,0.3450009563866811,14.9,full_cov,cov,42,190,catboost,patho
H22,0.7449376710246275,0.31203156585291675,20.36,full_cov,cov,42,190,catboost,patho
H23,0.7012274449912327,0.2651497281166113,15.63,full_cov,cov,42,190,catboost,patho
H24,0.827948051948052,0.41544403962295046,16.19,full_cov,cov,42,190,catboost,patho
H25,0.7882427307206068,0.3930918662369473,20.42,full_cov,cov,42,190,catboost,patho
H26,0.830579390026336,0.4517241713674972,14.4,full_cov,cov,42,190,catboost,patho
H27,0.818232584112802,0.4684801306807441,23.55,full_cov,cov,42,190,catboost,patho
H28,0.710607205845301,0.29262342587579177,19.16,full_cov,cov,42,190,catboost,patho
H29,0.825642523364486,0.5616339820121098,16.23,full_cov,cov,42,190,catboost,patho
H30,0.7760606060606061,0.4121647748173438,13.53,full_cov,cov,42,190,catboost,patho
H1,0.8026657844357181,0.4302592045282104,50.72,no_coh,coh,42,456,catboost,patho
H2,0.7945525079622238,0.4282197029003764,26.59,no_coh,coh,42,456,catboost,patho
H3,0.782230059601254,0.29935998641730227,17.45,no_coh,coh,42,456,catboost,patho
H4,0.8043355343175936,0.410389347809943,10.3,no_coh,coh,42,456,catboost,patho
H5,0.7809779885468862,0.38434641005954123,18.01,no_coh,coh,42,456,catboost,patho
H6,0.7450465548599826,0.3367622289936385,20.79,no_coh,coh,42,456,catboost,patho
H7,0.8348916608191846,0.5127304288506924,17.59,no_coh,coh,42,456,catboost,patho
H8,0.7630759140842761,0.15429841188127713,19.99,no_coh,coh,42,456,catboost,patho
H9,0.7553480317949117,0.3214130848641759,17.22,no_coh,coh,42,456,catboost,patho
H10,0.8038255326525796,0.41815968405560694,21.13,no_coh,coh,42,456,catboost,patho
H11,0.8599297727754391,0.4917392710099581,19.15,no_coh,coh,42,456,catboost,patho
H12,0.8121269699762772,0.46387275007423395,19.66,no_coh,coh,42,456,catboost,patho
H13,0.8037176068032004,0.45455536034781635,19.41,no_coh,coh,42,456,catboost,patho
H14,0.8204915640916809,0.4137884709051341,20.18,no_coh,coh,42,456,catboost,patho
H15,0.6626268854947349,0.248628058956207,18.94,no_coh,coh,42,456,catboost,patho
H16,0.8634573601303639,0.5233790270706171,23.13,no_coh,coh,42,456,catboost,patho
H17,0.8636131051257713,0.525519278219929,22.83,no_coh,coh,42,456,catboost,patho
H18,0.7829238951500571,0.43783260321493445,21.78,no_coh,coh,42,456,catboost,patho
H19,0.8415089562630546,0.3394404899700652,19.82,no_coh,coh,42,456,catboost,patho
H20,0.7053022392388909,0.19981298702217012,20.35,no_coh,coh,42,456,catboost,patho
H21,0.7836029492681853,0.3997021452027855,31.97,no_coh,coh,42,456,catboost,patho
H22,0.8252204317421707,0.45030255520134016,7.4,no_coh,coh,42,456,catboost,patho
H23,0.7451071893206629,0.34426438146954014,16.77,no_coh,coh,42,456,catboost,patho
H24,0.8611082251082252,0.5266137044399026,11.8,no_coh,coh,42,456,catboost,patho
H25,0.86,0.47697575421088456,11.97,no_coh,coh,42,456,catboost,patho
H26,0.8685328349333106,0.5105667660110863,9.91,no_coh,coh,42,456,catboost,patho
H27,0.8644701940527711,0.5090076944145961,10.73,no_coh,coh,42,456,catboost,patho
H28,0.7159989921894684,0.2626492544999753,18.61,no_coh,coh,42,456,catboost,patho
H29,0.825642523364486,0.509132226742969,17.67,no_coh,coh,42,456,catboost,patho
H30,0.7559090909090909,0.3867341520940934,17.92,no_coh,coh,42,456,catboost,patho
H1,0.7865623442618287,0.4094390830130443,127.61,no_pow,pow,42,2584,catboost,patho
H2,0.7661375425284385,0.3913473045557692,55.29,no_pow,pow,42,2584,catboost,patho
H3,0.7494865432511804,0.2502228328933435,49.76,no_pow,pow,42,2584,catboost,patho
H4,0.8087464956238857,0.4075639616544304,54.52,no_pow,pow,42,2584,catboost,patho
H5,0.7748438618468145,0.3974980168293724,59.64,no_pow,pow,42,2584,catboost,patho
H6,0.7181576680549843,0.30341806564680196,51.19,no_pow,pow,42,2584,catboost,patho
H7,0.8432977255237823,0.5257183313970313,53.46,no_pow,pow,42,2584,catboost,patho
H8,0.7466838826037054,0.15283024171704007,52.84,no_pow,pow,42,2584,catboost,patho
H9,0.7554957496086018,0.3366526542664755,53.08,no_pow,pow,42,2584,catboost,patho
H10,0.7867280166589039,0.40766203796224654,71.73,no_pow,pow,42,2584,catboost,patho
H11,0.8453003715669698,0.4890422712836675,66.31,no_pow,pow,42,2584,catboost,patho
H12,0.7983635786706154,0.4318336178051391,50.17,no_pow,pow,42,2584,catboost,patho
H13,0.798890957580637,0.4082316999313911,55.8,no_pow,pow,42,2584,catboost,patho
H14,0.8284532841680815,0.44991758278657973,55.86,no_pow,pow,42,2584,catboost,patho
H15,0.6594303724082682,0.23643985878087828,49.78,no_pow,pow,42,2584,catboost,patho
H16,0.8450538009880758,0.49142637127584887,55.16,no_pow,pow,42,2584,catboost,patho
H17,0.8414399916943521,0.49362892859427737,45.93,no_pow,pow,42,2584,catboost,patho
H18,0.7873797011523362,0.4463661731109589,61.57,no_pow,pow,42,2584,catboost,patho
H19,0.8301791252610924,0.3361566246655781,61.88,no_pow,pow,42,2584,catboost,patho
H20,0.7236443797529771,0.25411873499053494,65.53,no_pow,pow,42,2584,catboost,patho
H21,0.7689336414658302,0.36300507874039334,56.26,no_pow,pow,42,2584,catboost,patho
H22,0.8319702037093343,0.43824575301286,40.44,no_pow,pow,42,2584,catboost,patho
H23,0.7497313196447764,0.3960093422153223,52.81,no_pow,pow,42,2584,catboost,patho
H24,0.8413852813852813,0.4466141680445522,34.98,no_pow,pow,42,2584,catboost,patho
H25,0.8337041719342605,0.47606476164964445,34.07,no_pow,pow,42,2584,catboost,patho
H26,0.8595064140684734,0.5358301574505199,43.74,no_pow,pow,42,2584,catboost,patho
H27,0.8577970124249616,0.5125493355103037,56.78,no_pow,pow,42,2584,catboost,patho
H28,0.7013353489543966,0.23774301068682288,57.13,no_pow,pow,42,2584,catboost,patho
H29,0.8264456775700935,0.5384575868758178,60.42,no_pow,pow,42,2584,catboost,patho
H30,0.7730303030303031,0.3671488287260891,54.66,no_pow,pow,42,2584,catboost,patho
H1,0.7732656207032069,0.39688285209871116,123.96,no_cov,cov,42,2660,catboost,patho
H2,0.7687171847880433,0.4041625916196364,43.79,no_cov,cov,42,2660,catboost,patho
H3,0.7598083404582233,0.29111428534593825,58.76,no_cov,cov,42,2660,catboost,patho
H4,0.7282492620295369,0.27684486428164273,54.99,no_cov,cov,42,2660,catboost,patho
H5,0.7331943450250538,0.34061261006900795,49.61,no_cov,cov,42,2660,catboost,patho
H6,0.7151430226207812,0.29067971248035757,38.66,no_cov,cov,42,2660,catboost,patho
H7,0.8421264624888439,0.5154067037789171,51.61,no_cov,cov,42,2660,catboost,patho
H8,0.7195359895064766,0.10298122656925197,55.3,no_cov,cov,42,2660,catboost,patho
H9,0.7343871975019516,0.3039191864585922,57.79,no_cov,cov,42,2660,catboost,patho
H10,0.7824390172583404,0.4031919283745339,56.97,no_cov,cov,42,2660,catboost,patho
H11,0.8016484949021989,0.4290387043245467,53.64,no_cov,cov,42,2660,catboost,patho
H12,0.7961612849609405,0.42014997045599606,63.76,no_cov,cov,42,2660,catboost,patho
H13,0.7957409550646606,0.41407333533401436,85.17,no_cov,cov,42,2660,catboost,patho
H14,0.8239070458404076,0.438027104065146,53.75,no_cov,cov,42,2660,catboost,patho
H15,0.6578782320884587,0.19994897412483864,56.31,no_cov,cov,42,2660,catboost,patho
H16,0.8330876076666408,0.484772402548179,58.15,no_cov,cov,42,2660,catboost,patho
H17,0.837828518035121,0.4923298279942088,56.32,no_cov,cov,42,2660,catboost,patho
H18,0.775682221096619,0.44833370533563416,37.03,no_cov,cov,42,2660,catboost,patho
H19,0.8335900303113419,0.3352065947505157,57.67,no_cov,cov,42,2660,catboost,patho
H20,0.6857365861890747,0.19587923040363794,47.1,no_cov,cov,42,2660,catboost,patho
H21,0.7674039837129965,0.3644006736531431,62.97,no_cov,cov,42,2660,catboost,patho
H22,0.8491334752204316,0.49459155522023474,58.13,no_cov,cov,42,2660,catboost,patho
H23,0.7792295944340742,0.38807136525138025,59.39,no_cov,cov,42,2660,catboost,patho
H24,0.8224761904761906,0.4168573435828674,56.72,no_cov,cov,42,2660,catboost,patho
H25,0.8321365360303413,0.4459847426369909,43.26,no_cov,cov,42,2660,catboost,patho
H26,0.8581896185540735,0.4889022777412497,58.35,no_cov,cov,42,2660,catboost,patho
H27,0.8286472148541113,0.4872611720922388,58.79,no_cov,cov,42,2660,catboost,patho
H28,0.7422524565381707,0.3620300534999659,53.32,no_cov,cov,42,2660,catboost,patho
H29,0.8211156542056075,0.5438440988152757,56.43,no_cov,cov,42,2660,catboost,patho
H30,0.749090909090909,0.34617469308482485,58.64,no_cov,cov,42,2660,catboost,patho
H1,0.7224349574179572,0.31554727924450027,38.14,sub_coh,coh,42,190,catboost,patho
H2,0.7183554284803336,0.3254830050789145,10.47,sub_coh,coh,42,190,catboost,patho
H3,0.6968343803823897,0.21405230331635408,15.46,sub_coh,coh,42,190,catboost,patho
H4,0.7105059341143567,0.29278128909899037,16.85,sub_coh,coh,42,190,catboost,patho
H5,0.6741011989978526,0.2483223574515148,10.84,sub_coh,coh,42,190,catboost,patho
H6,0.6841454478228777,0.240327500612282,8.66,sub_coh,coh,42,190,catboost,patho
H7,0.7813087618954746,0.41868322977195205,8.45,sub_coh,coh,42,190,catboost,patho
H8,0.6500676340383669,0.09083797978462771,10.16,sub_coh,coh,42,190,catboost,patho
H9,0.6947653982342868,0.24913525546727486,10.44,sub_coh,coh,42,190,catboost,patho
H10,0.710223629493946,0.30126441647649166,17.63,sub_coh,coh,42,190,catboost,patho
H11,0.7372440617133553,0.35319456541888306,13.53,sub_coh,coh,42,190,catboost,patho
H12,0.7332202595911212,0.31485829246891395,22.22,sub_coh,coh,42,190,catboost,patho
H13,0.7361767221858803,0.34023718772178174,13.17,sub_coh,coh,42,190,catboost,patho
H14,0.7715938030560272,0.35921919943523495,17.5,sub_coh,coh,42,190,catboost,patho
H15,0.6230275432438415,0.17742203093746067,12.68,sub_coh,coh,42,190,catboost,patho
H16,0.792704534285197,0.4167316823740823,14.9,sub_coh,coh,42,190,catboost,patho
H17,0.7742161544850499,0.42214796466325366,13.63,sub_coh,coh,42,190,catboost,patho
H18,0.7516541091553756,0.4208079697935579,13.2,sub_coh,coh,42,190,catboost,patho
H19,0.7890654120162317,0.32697678835759053,13.27,sub_coh,coh,42,190,catboost,patho
H20,0.6726998491704375,0.1705060490511083,14.65,sub_coh,coh,42,190,catboost,patho
H21,0.657114559260482,0.24201822867508554,14.02,sub_coh,coh,42,190,catboost,patho
H22,0.7959562176953482,0.38231021993789316,15.29,sub_coh,coh,42,190,catboost,patho
H23,0.7243480966117993,0.31223444528448696,18.52,sub_coh,coh,42,190,catboost,patho
H24,0.7517922077922078,0.3408956010453692,16.81,sub_coh,coh,42,190,catboost,patho
H25,0.7686472819216182,0.3512551718282758,9.62,sub_coh,coh,42,190,catboost,patho
H26,0.82327329878515,0.41773642867372524,15.68,sub_coh,coh,42,190,catboost,patho
H27,0.7786681558006421,0.42684185921740525,11.78,sub_coh,coh,42,190,catboost,patho
H28,0.6867220962459057,0.21965925009070192,13.05,sub_coh,coh,42,190,catboost,patho
H29,0.7794246495327103,0.44899803054743004,27.97,sub_coh,coh,42,190,catboost,patho
H30,0.7060606060606059,0.34568883109545623,11.62,sub_coh,coh,42,190,catboost,patho
H1,0.7148681131461191,0.30822024648141505,30.93,sub_coh,coh,43,190,catboost,patho
H2,0.7041942832168032,0.31090302153496363,15.06,sub_coh,coh,43,190,catboost,patho
H3,0.6807662044781482,0.18732166747048595,24.16,sub_coh,coh,43,190,catboost,patho
H4,0.6931622231065128,0.26630571980890955,16.6,sub_coh,coh,43,190,catboost,patho
H5,0.67654840730136,0.2644511648793986,17.54,sub_coh,coh,43,190,catboost,patho
H6,0.6749501317539824,0.2356401535305245,18.56,sub_coh,coh,43,190,catboost,patho
H7,0.7861506890842525,0.4104701332313217,21.43,sub_coh,coh,43,190,catboost,patho
H8,0.641822429906542,0.07078756375381762,23.37,sub_coh,coh,43,190,catboost,patho
H9,0.7060598807043874,0.27017716445308254,15.26,sub_coh,coh,43,190,catboost,patho
H10,0.7010190420294788,0.2816927293516373,16.94,sub_coh,coh,43,190,catboost,patho
H11,0.7401943369961471,0.3513988259690715,18.32,sub_coh,coh,43,190,catboost,patho
H12,0.7416611263051328,0.3241216147378124,18.85,sub_coh,coh,43,190,catboost,patho
H13,0.7381411965983998,0.3330154569648305,14.54,sub_coh,coh,43,190,catboost,patho
H14,0.7737359401528012,0.3368988498388562,9.48,sub_coh,coh,43,190,catboost,patho
