mcc_overall,mcc_H25,mcc_H1,mcc_H27,mcc_H14,mcc_H29,mcc_H4,mcc_H7,mcc_H3,mcc_H12,mcc_H9,mcc_H28,mcc_H17,mcc_H21,mcc_H30,mcc_H5,mcc_H20,mcc_H6,mcc_H2,mcc_H13,mcc_H8,mcc_H22,mcc_H18,mcc_H16,mcc_H15,mcc_H23,mcc_H26,mcc_H10,mcc_H19,mcc_H11,mcc_H24,model,method,fold
0.8541658834432797,0.9289061923759602,0.880085197033573,0.8266565156227071,0.4685007346328848,0.2823494503646361,0.9347230819570066,0.8725647538557281,0.9115632629956112,0.777774924496575,0.8683392549630919,0.9456172245578404,0.7769923910836065,0.905923782295716,0.3757336070272284,0.920632217780982,0.4446750357040286,0.7866722394607761,0.92606353477702,0.8022305177677665,0.607079051511403,0.911814599612636,0.646615539588427,0.7786539526805183,0.8391723203226333,0.7916026191162356,0.1134057865532802,0.8264498562700472,0.9257886400766424,0.8152323481685638,0.8071921840976028,catboost,raw,1
0.8566891480222016,0.9415178221421016,0.886431647288945,0.9376539214906178,0.4575156208656194,0.4378304762557805,0.9354051547559,0.8593074802899404,0.9041683978128404,0.8144158800267219,0.9160450845441174,0.9441127053839428,0.7513718334831774,0.9384419582285272,0.614579074722189,0.9292263581128812,0.526236254635453,0.7885545272354786,0.9300646247096488,0.7909117352961538,0.5720045093368947,0.9448841247578976,0.6389256943039426,0.7936245514846314,0.8203155970894787,0.7882164643565591,0.0625067067932258,0.8346459705442745,0.898796493888141,0.7968291529602268,0.7328653855898011,catboost,raw,2
0.8472413509230129,0.9112497020085254,0.872596532090114,0.928806939982984,0.5597688607326824,0.3909518619076725,0.933911328109083,0.8461955207455906,0.8963458958381101,0.7967236422966019,0.90390248917288,0.9735318643959076,0.7554862032551276,0.9671131851586526,0.5528744234156027,0.9076142996540544,0.4668270648069191,0.7933559014562785,0.9022053900387742,0.8075039390855273,0.607079051511403,0.8774861120977205,0.6215716340511496,0.8004671685454131,0.8006051232923013,0.6178352222076725,0.1938832131132286,0.841832212248009,0.913588565816369,0.7924646577704343,0.7667942153494216,catboost,raw,3
0.848679918072914,0.9641810414828044,0.8772229743291787,0.8798923788260181,0.5202456124863124,0.4149093953444354,0.92877628455564,0.8717764966972167,0.907152242362848,0.7747525234924449,0.8964941441138033,0.986679226547175,0.8089214546295888,0.95637471358929,0.5115591523151904,0.9044461765732054,0.5430744949949551,0.7673629826496671,0.9066019836855312,0.7979294092495204,0.5851287529469666,0.894729463028023,0.5671635219755202,0.8135093045247929,0.7995084443484968,0.7750435668547453,-0.0011687797521195,0.8128746851297127,0.8768725809362004,0.7887033310800102,0.7714957458469535,catboost,raw,4
0.8557317352002666,0.9345876746861622,0.8839456041438758,0.8821779007981818,0.4870162262239276,0.2823494503646361,0.9297054769083808,0.8537996052917421,0.910383071013702,0.8156766934412534,0.8692415234896512,0.931922766134977,0.7660814709338485,0.9361340128392314,0.4717388930859837,0.9252085101129068,0.5465381098066849,0.7847721346319124,0.922407786420775,0.8309518086786203,0.5430744949949551,0.9128038607777266,0.6468032772076081,0.778164083153385,0.792614727808684,0.8366219991256276,0.1922361246646111,0.8574536821723259,0.9141712583900874,0.7987857525666179,0.7420300195854886,catboost,raw,5
0.9753318860173236,0.9406505015584258,0.9859658814827263,0.9365739199625572,0.9219400171509834,0.7740084721263287,0.9665537523983044,0.985962735696376,0.9962620855510438,0.9866078618958962,0.9518467600233717,0.9731802778267762,0.9769376851529712,1.0,0.7379883773353617,0.992176274353268,0.8693219969750678,0.968944499039462,0.9858647747269522,0.9627818924966262,0.986679226547175,0.9944739905897858,0.9830247865885016,0.9512222117472376,0.9550689835219732,0.8956692246505159,0.9035832284555352,0.97334636005426,0.9900449723430828,0.9878469488737516,0.9014811922959336,catboost,sitewise,1
0.9794735962542798,0.9633570584863445,0.9942478166104368,0.9588736528465288,0.966361811951736,0.758920049006676,0.9777543632259236,0.990522251197797,0.9916262914945284,0.9821306772045688,0.9670003334584756,0.9441127053839428,0.9499898759012436,0.9890369341123192,0.7972395383399652,0.9883785732525806,0.8540952255956976,0.967763187296692,0.9922826904131472,0.9496248763838098,1.0,0.9777755439062578,0.9827790060329435,0.9546099207191068,0.9654646001559162,0.926771911384038,0.9657965678598504,0.9752086811555024,1.0,0.9951265243452329,0.9561651833169778,catboost,sitewise,2
0.974005973961449,0.9557440365819494,0.9872303087082251,0.969314084314441,0.8675509627021064,0.7064088811451572,0.9723496722172672,0.9893297555488172,0.9953398851797748,0.9888109089512332,0.9621748602123824,0.8103050980514505,0.9803249737817902,0.99459021868065,0.7972395383399652,0.9844502210089698,1.0,0.955845193272549,0.9773835415023808,0.944295279781558,0.9731802778267762,0.9669304748547384,0.9957478106950498,0.927860974645832,0.9721980757405096,0.926771911384038,0.9473553104353382,0.9573195220705218,0.9933733689873796,0.9951161230856016,0.9328609441584156,catboost,sitewise,3
0.9743331727572336,0.9252154590700506,0.9855340283955852,0.9686825745291188,0.904743745647953,0.758920049006676,0.98088524263736,0.9881604511546204,0.99533293060142,0.9910280688808392,0.9620469358441142,0.9456172245578404,0.9567800264532792,0.9890936783973224,0.7972395383399652,0.9832211365113346,0.9456172245578404,0.9752978202208524,0.9848276939973756,0.9607589780261654,0.8427134046458347,0.9833912653051456,0.9743271672389456,0.950549444676852,0.9758944305938556,0.8777241132917186,0.956323876379087,0.9403601900294768,0.9901263841984352,0.9805177558462892,0.9481753793108014,catboost,sitewise,4
0.97351753044208,0.8773444137864459,0.992930356630624,0.9792298077370692,0.8954371595171741,0.7740084721263287,0.9645619352587924,0.9964474736621663,0.99718921074054,0.9866078618958962,0.962728644937946,0.917243815599466,0.9403502691895624,0.9945327313444948,0.7379883773353617,0.9844854303933284,0.8999706640391154,0.9308279597135454,0.985810040204664,0.9591140518690024,1.0,0.9549465093706394,0.991408118063561,0.9440652699315808,0.9656909203100186,0.8877098987232686,0.9570614402840556,0.9624275648982172,0.9868081022942404,0.9854459359065648,0.9406505015584258,catboost,sitewise,5
0.9743360118199504,0.948277387877124,0.9855340283955852,0.903129696507596,0.8937632270678469,0.7740084721263287,0.9674346544410956,0.9905499063411968,0.9971935360877736,0.9844187771092348,0.9319641128299024,0.9731802778267762,0.9703092260410144,1.0,0.6735859301497288,0.9883785732525806,0.8693219969750678,0.9600460484052048,0.9869329804607592,0.9586196940670764,0.9731802778267762,0.9944739905897858,0.9787027368221952,0.9478235399707484,0.972557451116972,0.8857793305966017,0.9213209209351378,0.9735590374930868,0.983436426883784,0.9903526749294362,0.9252154590700506,catboost,combat,1
0.9776577873235608,0.9633570584863445,0.9946877947943662,0.969314084314441,0.949111709247372,0.6786442034994385,0.9706303497055362,0.9928923905924554,0.9888754048948416,0.9799411072738602,0.9620469358441142,0.9583836358519184,0.9431280930783352,0.9835121292719988,0.7681809425961365,0.9793256978145588,0.8999706640391154,0.9529762867271624,0.9922826904131472,0.9625925218561714,1.0,0.9835681386862752,0.9957478106950498,0.9642310321893228,0.9721980757405096,0.936085364946134,0.9482485542876472,0.9601048678539004,0.9933932761924776,0.9975606682794506,0.9558457811132064,catboost,combat,2
0.9693660338782536,0.9014811922959336,0.9863981342723982,0.969314084314441,0.8580086304760854,0.651854891891457,0.9682728965262748,0.9869571828443674,0.9925712294122976,0.9821404896419814,0.9573265947884724,0.8422218250327742,0.9670509374250652,1.0,0.7379883773353617,0.9857808511335764,0.9731802778267762,0.9404975424641356,0.9711705374668734,0.933541908259245,0.9731802778267762,0.9666322737053092,0.9957478106950498,0.9282493853045052,0.9651923861237228,0.926771911384038,0.8917128709615286,0.9584679564454012,0.9833749208836025,0.9975606682794506,0.9328609441584156,catboost,combat,3
0.9723465642180322,0.9481753793108014,0.9833583437470363,0.9686825745291188,0.94037202656935,0.6497030642040618,0.9788216381952556,0.981222713421426,0.99533293060142,0.9888109089512332,0.9668728501259808,0.9731802778267762,0.9532087157900228,0.99459021868065,0.7681809425961365,0.9832919024467536,0.9027294300464772,0.9708023812000888,0.988026529472132,0.943250406798506,0.8422218250327742,0.9889188141072064,0.9828847781592972,0.9473327752081112,0.9690054301139984,0.8162283418354283,0.9383038021346132,0.9406485543520472,0.9967124093669726,0.9878149987554252,0.9328609441584156,catboost,combat,4
0.9726901896783988,0.9094240173380138,0.993369098237432,0.958022500071661,0.904597149410848,0.7204533066523623,0.9604663576749768,0.9929007647821836,0.9943818758623194,0.991075234149811,0.9533999282898012,0.9456172245578404,0.94437322189104,0.9890369341123192,0.7065164745080809,0.9870801686414682,0.9296271685067355,0.9388066172072348,0.9730811940351436,0.967355939782998,1.0,0.920030826551464,0.983060218526074,0.9472291148803956,0.9550689835219732,0.8472734194733205,0.9657965678598504,0.973353431427273,0.9901075640043978,0.9902972906043764,0.9481753793108014,catboost,combat,5
0.9758303475451025,0.9707111408147668,0.9898706278102332,0.9144099948124954,0.8942685809256496,0.6317355505472545,0.9736129172950032,0.9940693009945838,0.9981272919541064,0.9932875473840678,0.9472958841903936,0.9731802778267762,0.9769376851529712,1.0,0.6389712579130442,0.989651515829956,0.8847767177869383,0.9605230295922808,0.9836745347333502,0.9374456480635944,0.986679226547175,0.9944739905897858,0.9745371798827522,0.9619771880678244,0.9626082073165056,0.8754057589150913,0.9123246123993518,0.9735590374930868,0.9933932761924776,0.9951486453021884,0.9094240173380138,catboost,neurocombat,1
0.9771548216835304,0.9708125444918538,0.9903065087132972,0.969314084314441,0.9492499891377306,0.4796556118657519,0.9705182384826244,0.9881845855709732,0.9953257562718232,0.9801634845674924,0.9764575564384044,0.9441127053839428,0.9737594474304292,0.9724280797039584,0.8252839597033018,0.979408557303474,0.8535923351503804,0.9668194161793434,0.9912204242917158,0.9624201195407316,0.986679226547175,0.9944739905897858,0.978420578413525,0.9507342517149714,0.962363963898388,0.917032648353334,0.9213209209351378,0.9770739609576709,0.9933932761924776,0.9951265243452329,0.949129621017244,catboost,neurocombat,2
0.9730129284396876,0.9481753793108014,0.9907303995336822,0.9796463898419174,0.8302822247430653,0.5875893898914036,0.9767280479626692,0.9881604511546204,0.9934918526564774,0.9911415465028356,0.9426415235379084,0.8577419555958056,0.9705530490214096,1.0,0.7379883773353617,0.9922109800557518,0.9594956318146152,0.955845193272549,0.9794784190424344,0.9347605583109015,0.9456172245578404,0.9616389533698358,0.9827790060329435,0.9549082660779198,0.9654646001559162,0.8992066874721735,0.9291669262388024,0.9624275648982172,0.9867063854063404,0.987791411618078,0.9174042568953727,catboost,neurocombat,3
0.9690337161294332,0.9632555142731658,0.9799560047383724,0.958022500071661,0.877503800388589,0.6497030642040618,0.9715819205161936,0.9834201375270568,0.9962620855510438,0.9887641402801712,0.9764575564384044,0.9731802778267762,0.9535443376800576,0.9890369341123192,0.7065164745080809,0.985754198668954,0.917243815599466,0.9541569425328772,0.9869068464127096,0.9377160158142612,0.7770992014760075,0.9889188141072064,0.9743271672389456,0.9473327752081112,0.9722636941996396,0.7956359543450867,0.8918749653227734,0.9461085356603296,0.993434608622322,0.9831607474088748,0.9252154590700506,catboost,neurocombat,4
0.9688821814648524,0.8608171288645102,0.9903065087132972,0.9363483646099424,0.904743745647953,0.3993629361547889,0.9578349902448132,0.9929291277868848,0.9925224229690872,0.9887641402801712,0.9623470097754052,0.9027294300464772,0.9351767537250724,0.9890369341123192,0.7065164745080809,0.985812963673204,0.9296271685067355,0.9543420949832664,0.979365223617533,0.94812912925737,0.9594956318146152,0.943604379334998,0.9871195310510728,0.9447178015261952,0.9354099731955454,0.8366219991256276,0.9659373806416924,0.9693315561022156,0.980303825866966,0.9927093514704548,0.9094240173380138,catboost,neurocombat,5
0.9324008530533836,0.9251122320188008,0.9587384384883372,0.7681379583686223,0.8355113813064925,0.1996360876439284,0.9096254970592552,0.9928923905924554,0.9962620855510438,0.9339065979485768,0.9168951038505329,0.8422218250327742,0.8745471780040656,0.943983095454586,0.5634342281375008,0.9600562777269706,0.7702201865650674,0.8860570715091091,0.9312228422440744,0.902936516831524,0.9594956318146152,0.937575051311516,0.9209910168281312,0.8488223175398886,0.9342622180713718,0.8126266777348108,0.8753524262981014,0.9115619883162084,0.9356476418466106,0.9804334608421098,0.8853892452003108,catboost,covbat,1
0.9343797824966636,0.9095284624847424,0.9534771538848285,0.8357039525998703,0.8086594270623265,0.2768453659416329,0.9124505920905162,0.9893515399544556,0.984098116851299,0.9416919626374964,0.9716762795699608,0.8999706640391154,0.905534523421929,0.8973707903687621,0.6023821975364959,0.9413055593239594,0.6768042453603484,0.8953872188538498,0.9587285224330346,0.908171940535727,0.9456172245578404,0.9322084079885392,0.9613401327557356,0.8596866513055131,0.9086945957385244,0.9075314978372612,0.884341015977453,0.9186031485763384,0.9599400551291944,0.9653898168635834,0.8375414104764671,catboost,covbat,2
0.9251113766354104,0.885496246841067,0.9562233248453446,0.8476230404863511,0.5465689034084064,0.3915778056607303,0.899938919116062,0.9905028328996026,0.9915667541101868,0.9153524933534674,0.9279662088391232,0.7244835797475342,0.8304144061755443,0.927401205634346,0.5215991897599686,0.9509294348816548,0.7938732605426057,0.8502358136362065,0.943474613693688,0.906958671562943,0.986679226547175,0.937575051311516,0.952746999990623,0.8307076250320657,0.8793005854483338,0.8368207293257697,0.8426266291859706,0.9145016322705228,0.9665276241526204,0.970460163779224,0.9095284624847424,catboost,covbat,3
0.9289102032053266,0.8935762615615036,0.9462220085683476,0.8798923788260181,0.7561864867292541,0.3915778056607303,0.910216443739786,0.9928778297499626,0.9841537445466728,0.959017824380358,0.9859147794183332,0.8422218250327742,0.8630955119833744,0.9093757229220713,0.5634342281375008,0.94281192917885,0.8264151299203074,0.8763981617640545,0.9530059362835784,0.9206132380350956,0.400231939416276,0.9550003506814564,0.938454727872401,0.8831381369827215,0.9374722735139778,0.7130638279403927,0.8917128709615286,0.8971101206480419,0.9767763888348652,0.9481118186792308,0.8612186090039683,catboost,covbat,4
0.9272576205665926,0.843977086157721,0.9478244312259216,0.7681379583686223,0.7669610688392886,0.2823494503646361,0.912952723008123,0.9917303973685356,0.9934409063203046,0.9472154072836289,0.9380627688320976,0.8577419555958056,0.8485876932274875,0.9088526307521916,0.6023821975364959,0.948018572981039,0.7702201865650674,0.8976593218450565,0.9439637441082122,0.9154808524860496,0.917243815599466,0.8832959480300918,0.9255380443157928,0.8102281221173461,0.9193332793309557,0.7936715308127739,0.8372452604405956,0.906961658563703,0.9532087157900228,0.9781221436803452,0.8858723060753801,catboost,covbat,5
