fold,mcc_overall,fit_secs,mcc_H1,mcc_H2,mcc_H3,mcc_H4,mcc_H5,mcc_H6,mcc_H7,mcc_H8,mcc_H9,mcc_H10,mcc_H11,mcc_H12,mcc_H13,mcc_H14,mcc_H15,mcc_H16,mcc_H17,mcc_H18,mcc_H19,mcc_H20,mcc_H21,mcc_H22,mcc_H23,mcc_H24,mcc_H25,mcc_H26,mcc_H27,mcc_H28,mcc_H29,mcc_H30,condition,group,seed,n_features,model,task
0,0.8340676006700642,121.68,0.8652255905488021,0.9003554135340177,0.8970076485554619,0.885740856934736,0.8962918518922424,0.7667509940441276,0.8615018062091727,0.607079051511403,0.8421887097863548,0.7920564489481328,0.7905149398160666,0.7902091609448296,0.7838012040257055,0.36102762993640103,0.7996379589148984,0.7616521527886734,0.7127073355251232,0.6343932352378949,0.8930242294363299,0.4731440298441783,0.9216749215993623,0.9109159227005663,0.7903352105450311,0.863884651344998,0.8719500503341662,0.17142694300281183,0.8293310194170376,0.9456172245578404,0.3993629361547889,0.4252687125867059,full_coh,coh,42,2394,catboost,site
1,0.8415145260957367,101.0,0.8642179436697072,0.9213119300285397,0.8924442335288482,0.8942179069639332,0.9260332423964772,0.7954677246342807,0.8632558545870621,0.4387366640437575,0.8521175053930633,0.8147713365002988,0.7946168093287355,0.8196744176224791,0.7803120895069611,0.4592945954079216,0.7902999992671986,0.7680305565947543,0.7262765003181811,0.5745726136680341,0.8985972189279546,0.5699420759660713,0.9271065504889426,0.9296059458548162,0.7794913374268967,0.7420300195854886,0.8815189826054046,0.2619608203874087,0.9159561178113816,0.9583836358519185,0.45649770456891625,0.5528744234156027,full_coh,coh,42,2394,catboost,site
2,0.8352752251774849,91.11,0.8667912811536106,0.8878044182720253,0.886886084660683,0.875656522684577,0.8979891846447785,0.7753215385088306,0.8510000584043536,0.560841837604652,0.8818853266391163,0.8093464560399095,0.8070115178919692,0.829388751271003,0.808337054955414,0.5597688607326824,0.7626336627936522,0.8024252720011289,0.7100637081138508,0.5956653118368669,0.9105325462578009,0.5720045093368947,0.9620432560156935,0.8774861120977205,0.5851400701173205,0.7667942153494216,0.8569052388417565,0.19472375503024686,0.9193894993894994,0.9735318643959076,0.295194363465183,0.5528744234156027,full_coh,coh,42,2394,catboost,site
3,0.8363435935535516,113.71,0.8756734155206605,0.8990106505838443,0.8983508091019269,0.880203178170959,0.8889375933356659,0.7471183809821812,0.8784517678211445,0.4878305531287895,0.8853129644685714,0.7981231869883805,0.78005386065163,0.759197849482112,0.7979294092495204,0.5296390302526631,0.7620273872369069,0.8157705187049827,0.8120821668866948,0.504892496919436,0.8732064826872067,0.4317624105138954,0.935302843421535,0.8997726524996177,0.7503865551289803,0.72946346725542,0.9211674555153917,0.07349519973308444,0.8917105289342995,0.986679226547175,0.3191382583814812,0.47083451780101254,full_coh,coh,42,2394,catboost,site
4,0.836733123264341,113.21,0.8652624115613718,0.89961814239698,0.9039158668369691,0.8866466736755239,0.909561383747631,0.7558403216674953,0.8564384829872765,0.5623433765326807,0.8205978085769862,0.8400843424703808,0.7816645437730114,0.7963511737955214,0.8232255004480143,0.5379681326726224,0.7450468151695803,0.7227292630151341,0.7483902013924911,0.6325336691842495,0.916393316601815,0.5136134885385724,0.930338975287752,0.8787450744673746,0.7048018319727655,0.783417898696527,0.8577110148237176,0.15602113669995557,0.9151253398534532,0.9598578410469673,0.11440104614257485,0.5131859233322443,full_coh,coh,42,2394,catboost,site
0,0.5979256755847214,18.16,0.6805308105963165,0.701882796467912,0.6424452944561129,0.8295120892345133,0.7418377577513229,0.4144564824553929,0.6522338270321931,0.28512275779892665,0.592419035440678,0.5110572040963168,0.5861544667441232,0.4455651977307001,0.403017807138732,0.1458028681146028,0.47983955166946135,0.3500173441073572,0.2976983594333554,0.18449630084413243,0.5754241083257883,0.1997410021649807,0.37379496526291806,0.6244445743710464,0.3201964337816552,0.5377309076186768,0.6309482210486023,0.14774534310453927,0.4831212509980131,0.5167548720932675,0.0,0.38057494177825507,full_pow,pow,42,266,catboost,site
1,0.585846793746211,17.34,0.680150290236388,0.6958465049202969,0.5950564165465225,0.8195312913423617,0.6957909295667735,0.37824928772766475,0.6583526662901846,0.30595373876537935,0.6231482544987876,0.49689124034636756,0.5347151559804545,0.480030087106218,0.37064682933902615,0.21887992632780345,0.45370785318755463,0.403366698693932,0.33952403007585413,0.2579448717402974,0.5404288213624673,0.11528557045922655,0.3144748552679993,0.6095857656702978,0.37271027278646224,0.43284464439065057,0.49595038596199686,-0.0011787331265904735,0.553561827133082,0.6604242686446842,-0.0007739286166317447,0.2454173593002954,full_pow,pow,42,266,catboost,site
2,0.5835242132150782,37.07,0.6701101502008704,0.7083605757393064,0.6143320335969269,0.8070379522461,0.702970594848418,0.446276216191583,0.6392612127999109,0.20298133953367897,0.5791795817934883,0.49943314604622047,0.4942766263059861,0.49868927769514676,0.4005977328735152,0.20997902823875517,0.4390823707334983,0.4020213766350083,0.2876811045271403,0.3070369218373586,0.45815680195294983,0.07949640307917001,0.4713025566971762,0.560318732277797,0.21841789864882533,0.48841132587989694,0.4976067701908049,-0.0020246926619075403,0.4980221841784789,0.5430744949949551,0.0,0.3190086239750846,full_pow,pow,42,266,catboost,site
3,0.5929831768622971,26.44,0.6727981400577133,0.7117822613506046,0.6318965787843014,0.8107489428079508,0.7010774077197561,0.39794969373596273,0.662973238294187,0.29145499678866155,0.5524599006061122,0.5516855741666558,0.5243787015116513,0.48287233343471847,0.41634784740425107,0.17426761000458474,0.48359953166195374,0.353026091949481,0.34056081952867095,0.1851496675477274,0.49583316184411275,0.22878919906248962,0.38498696769472235,0.5847030218194074,0.5180879341635447,0.4360535955542637,0.6562239011953888,0.07349519973308444,0.5278987062793137,0.6713140907913068,0.0,0.2128613146285641,full_pow,pow,42,266,catboost,site
4,0.5941676512049376,22.42,0.6882968977419285,0.7106608042476036,0.6149524862620305,0.8204076237882003,0.7225401827645431,0.44361337876225937,0.6633774216342421,0.2890448464043232,0.5400637335561824,0.5322286167709323,0.5106100762867636,0.45304987711526845,0.3940418276119773,0.13320823847542693,0.45749928488179203,0.4123490070830578,0.32067235417150913,0.28713665000916033,0.5027605217266691,0.24551891275451979,0.41326859471049016,0.6171603501971461,0.3035140521937001,0.5072892591428837,0.5261179556251109,-0.0016671066556514498,0.46232192181880943,0.5430744949949551,0.19963608764392843,0.08547990774435148,full_pow,pow,42,266,catboost,site
0,0.7386235459491238,22.24,0.7686580889692901,0.8532810320607734,0.8094210911739294,0.8042872822501885,0.827085246250357,0.6768330753742025,0.8118845955644097,0.4855927619868985,0.7865488222872479,0.7248929824822706,0.7001383477856586,0.6173992275592679,0.6759463985909351,0.15260929801788087,0.6179829193885547,0.5599713656943083,0.5168578834510236,0.4197050398964919,0.8212061305798072,0.21920207772101252,0.7670053805680703,0.8346523742736927,0.5846040557715297,0.6063394208841774,0.8500892914172836,0.12737141572891847,0.8332359700698087,0.9172438155994661,-0.0010732455920808733,0.07887589889341304,full_cov,cov,42,190,catboost,site
1,0.7352606702404778,35.01,0.7671976080684975,0.8622312409310537,0.8258101815050015,0.8070379522461,0.8245685581137204,0.6412778570957844,0.81176497488053,0.4089261379970797,0.8453945986943677,0.674488732172982,0.6504472537139605,0.6231430957225699,0.6308980466951342,0.16751735534948228,0.610005913564591,0.6163953993005141,0.5598054500263465,0.4426835779113623,0.808887357585097,0.11528557045922655,0.7922908518911387,0.8511848758145998,0.4448852792272229,0.5947874731247237,0.7777888356240154,0.09005154451610582,0.8125729004922566,0.8852370474867394,0.19574440703732127,0.12209224085756817,full_cov,cov,42,190,catboost,site
