mcc_overall,mcc_TER_L,mcc_MKW,mcc_ARCHDAM,mcc_SZC,mcc_KUD,mcc_TOR,mcc_KATMOJPRZ,mcc_LUMICE,mcc_KAL,mcc_KLU,mcc_LUX_A,mcc_AKS,mcc_ZOZLO,mcc_STG1,mcc_GAK,mcc_OST,mcc_OTW,mcc_PRZ,mcc_CHE,mcc_CMD,mcc_MOR,mcc_PUS,mcc_SL2,mcc_SRK,mcc_B2K,mcc_KIEG,mcc_PIO,mcc_SLU,mcc_WLU,mcc_Z04O,method,fold_id,pca_var,n_features
0.862339181112265,0.6771197092747837,0.7897365874659259,0.8611535017398172,0.8944501396197256,0.943284182957462,0.94188094854845,0.9168684073577199,0.9450988437035704,0.936847139468337,0.7889710416750608,0.8713026128515695,0.5543854386099066,0.7971135246843302,0.9104812030503713,0.7198486306228776,0.8010863041735833,0.8393651556416909,0.8108322382360384,0.4330225968415366,0.3069452397396015,0.9745873924169034,0.9045669525475192,0.4802543884673486,0.76063144209592,0.9341509569365141,0.31947689508219007,0.5061521900701601,0.9094826894909076,0.8173718578683694,0.9116184915711082,raw,0,,2850
0.8604077213128972,0.6638223410362789,0.8056505936865261,0.8652189216596694,0.8868348797541983,0.9080569310493999,0.9490917025455412,0.9029589822601122,0.9175868257050608,0.9388736617749275,0.7932382588241743,0.8532366008467419,0.6029349557401396,0.7731910253328311,0.8758181267967066,0.7810987068894528,0.7905151034860413,0.84717072533849,0.8141113666600595,0.3526869820219302,0.09189279442686395,0.9498111069134869,0.9531918858125361,0.533665760523565,0.8069968908692323,0.955424745889333,0.25963876187942353,0.6482127250689375,0.9112035452293682,0.8090355133066167,0.9242004776185047,raw,1,,2850
0.8674872738200955,0.6844610614592264,0.7906165159114615,0.8698964236499633,0.8937113848594638,0.9510796704527024,0.941166397811556,0.9171237508197114,0.928306329079199,0.8872390267121194,0.8402012974652419,0.8583721900836884,0.5279373802269604,0.8407864366518055,0.9361306597600029,0.6844247878282973,0.8221792255986512,0.8491762148208107,0.8649020658979879,0.48447710783706566,0.18776367095270177,0.9255578401667686,0.8572770651117633,0.49617437025802774,0.8293818150721802,0.9474437905374499,0.36861334496502507,0.606290352905619,0.8228251692022277,0.800654461174592,0.9208016115638592,raw,2,,2850
0.871278170155512,0.7044769908470895,0.8292148073483722,0.8724687857068776,0.8986086112448016,0.9296015391464734,0.9462480166604563,0.9318714553640082,0.9678771214445958,0.9569247637488487,0.8301763376186587,0.8519968069721818,0.5406589036881343,0.7236519109601136,0.9169828469828755,0.719848138008885,0.7902529602088467,0.8428985059811006,0.8753681718344183,0.4844769958561615,0.0800537847801593,0.9745873750299727,0.9394523437979628,0.5825002592116362,0.7883760761575273,0.9570456533404074,0.380377997754524,0.7964850500131013,0.9085571042369093,0.7863494872254504,0.9135030375972687,raw,3,,2850
0.8673142853251588,0.690504833064054,0.8407284793916406,0.8673160029084582,0.8973987712643303,0.9196135702123458,0.9454700806453682,0.9293986375823843,0.9182201344983265,0.9624652959437576,0.8237758225636137,0.8680326379662713,0.43208918031864224,0.8005235520463189,0.9308463186588649,0.7739372169478246,0.7898841764508124,0.8130194051434937,0.8198895621945004,0.3425124597357929,0.17512115997880356,0.9745873750299727,0.7840473826188696,0.5430982281020299,0.8098686831448269,0.9583370866192226,0.3686132203471401,0.6909443483492594,0.8891913025531206,0.7982018570726155,0.9090702487075067,raw,4,,2850
0.8370859098773422,0.6600552292586925,0.7762686856241516,0.8436272177573491,0.8666050767248669,0.9147223717476024,0.8933251358073651,0.8876700422475442,0.9066594835637589,0.9495421666748292,0.8332497640610126,0.8456241599837038,0.4708751058689247,0.773290328887749,0.8751039432689722,0.7672851766581348,0.7742097070265405,0.8347835565255644,0.7757440634545897,0.41952998103392014,0.15163129915911758,0.9485041490926234,0.8572770651117633,0.3526869820219302,0.6487942337309667,0.9157991652417512,0.3803781876517137,0.5469997637314212,0.8394253215020221,0.7860350907929661,0.86507423311731,raw,0,0.99,573
0.8420877897219343,0.662984982404705,0.8252730786414096,0.8528897155164467,0.8704268381142002,0.9296940614872083,0.8933249158148446,0.9095216125379771,0.9022038317442653,0.9102211340546031,0.8205542559414308,0.8631050329614803,0.5361809178028808,0.706872037850958,0.8842958426267278,0.8214922267935743,0.746004920313723,0.8063929851400703,0.7282682405832189,0.33283094671272995,0.08005453076806471,0.9485041490926234,0.870329158781027,0.3838114960058759,0.7760733672995048,0.92420311662649,0.3208697653696703,0.606290352905619,0.8470686670671224,0.8069914120240148,0.8913712658401377,raw,1,0.99,581
0.8459032852099317,0.6454291717118157,0.7773399326357157,0.852774401985651,0.871264530704563,0.9103460036753825,0.9171617298309294,0.9007320212948885,0.8847301527780251,0.8929461959742373,0.8032912298308319,0.8788362751690956,0.5873109223430228,0.8027019079129236,0.9515909645448624,0.7074543418164737,0.7865923437137949,0.7864624723112095,0.8026858671714912,0.24217015393018107,0.18627968111724513,0.8993956315966188,0.89175200126901,0.5489716103475087,0.7500425182480799,0.923424315271196,0.3009432051157941,0.5612629180179552,0.8383441923122533,0.7920037695484091,0.8787243142352665,raw,2,0.99,582
0.846060530289651,0.700264392873985,0.7813741928218311,0.8525154182675858,0.8734496925470764,0.8967601625541481,0.9028548582331055,0.9044000044113449,0.9025652379590412,0.9034972779490567,0.8046590577704632,0.876278520718394,0.3917880229334838,0.7055426122364336,0.9138780728735967,0.8081622330936769,0.7869315071095027,0.8048006135989602,0.8481106188883488,0.2792376916737111,0.20690310137335535,1.0,0.8926092378061901,0.41542471316518587,0.7348265650701782,0.921024740931357,0.2127788744156486,0.6109241105450992,0.872077714102769,0.7319702552265331,0.8910591939569348,raw,3,0.99,565
0.8399189130226988,0.6322669952209942,0.7791385882248245,0.864392628769931,0.8593131048120182,0.90441003416743,0.9035854367276642,0.8876209769038286,0.9182201344983265,0.93148213397114,0.8449847088811343,0.8203976686315826,0.48745721471552983,0.7005092056027841,0.908161373890863,0.7484772332473816,0.7331163057200678,0.8214681864122904,0.7412918790100259,0.24217008507721918,0.19582832640181,0.9745873750299727,0.7449016659379858,0.6660380322348614,0.782430908994109,0.9386828324455371,0.3188159837195272,0.5612627881910499,0.850145108988557,0.8030987335267057,0.9081331330458848,raw,4,0.99,601
