MCC_Overall,Accuracy,Precision (Macro),Precision (Weighted),Recall (Macro),Recall (Weighted),F1-Score (Macro),F1-Score (Weighted),AUC (OvR),AUC (OvO),MCC_H1,MCC_H10,MCC_H11,MCC_H12,MCC_H13,MCC_H14,MCC_H15,MCC_H16,MCC_H17,MCC_H18,MCC_H19,MCC_H2,MCC_H20,MCC_H21,MCC_H22,MCC_H23,MCC_H24,MCC_H25,MCC_H26,MCC_H27,MCC_H28,MCC_H29,MCC_H3,MCC_H30,MCC_H4,MCC_H5,MCC_H6,MCC_H7,MCC_H8,MCC_H9,model,method,fold_id,pca_var,n_features
0.9753318860173236,0.9774310814904574,0.9834744478883808,0.9778501071888408,0.91947867034599,0.9774310814904574,0.945874577380856,0.9766838729281104,0.9998067349859924,0.9994228669122088,0.9859658814827263,0.97334636005426,0.9878469488737516,0.9866078618958962,0.9627818924966262,0.9219400171509834,0.9550689835219732,0.9512222117472376,0.9769376851529712,0.9830247865885016,0.9900449723430828,0.9858647747269522,0.8693219969750678,1.0,0.9944739905897858,0.8956692246505159,0.9014811922959336,0.9406505015584258,0.9035832284555352,0.9365739199625572,0.9731802778267762,0.7740084721263287,0.9962620855510438,0.7379883773353617,0.9665537523983044,0.992176274353268,0.968944499039462,0.985962735696376,0.986679226547175,0.9518467600233717,catboost,sitewise,0,none,2850
0.9766615775068186,0.9786428355043926,0.9828996680074517,0.9790438896464392,0.9243283886340004,0.9786428355043926,0.9478685804325548,0.9779603021743046,0.999806720138922,0.9994550451535472,0.9951281865912396,0.9656109414365064,0.997571754067158,0.9888109089512332,0.958189075734304,0.9579113292943318,0.9723764574447942,0.9475587686128008,0.94322973038966,0.9914423890796484,0.9966916779066898,0.987938966150535,0.8693219969750678,0.9835681386862752,0.9669304748547384,0.9075314978372612,0.9561651833169778,0.9632555142731658,0.9482485542876472,0.9588736528465288,0.9441127053839428,0.7064088811451572,0.9888754048948416,0.7681809425961365,0.9696239716373376,0.9832542278005496,0.9587291811971334,0.9882224003862498,0.9731802778267762,0.9620469358441142,catboost,sitewise,1,none,2850
0.974005973961449,0.9762193274765224,0.9830158202838508,0.9766406047273776,0.9201331430832436,0.9762193274765224,0.9453120804522148,0.9753877883514864,0.9998046924553914,0.999339556062072,0.9872303087082251,0.9573195220705218,0.9951161230856016,0.9888109089512332,0.944295279781558,0.8675509627021064,0.9721980757405096,0.927860974645832,0.9803249737817902,0.9957478106950498,0.9933733689873796,0.9773835415023808,1.0,0.99459021868065,0.9669304748547384,0.926771911384038,0.9328609441584156,0.9557440365819494,0.9473553104353382,0.969314084314441,0.8103050980514505,0.7064088811451572,0.9953398851797748,0.7972395383399652,0.9723496722172672,0.9844502210089698,0.955845193272549,0.9893297555488172,0.9731802778267762,0.9621748602123824,catboost,sitewise,2,none,2850
0.9743331727572336,0.976522265980006,0.982520200668451,0.9768973251979208,0.9187731449433638,0.976522265980006,0.9456198569552192,0.9758255344145492,0.9998364765275104,0.99946000557536,0.9855340283955852,0.9403601900294768,0.9805177558462892,0.9910280688808392,0.9607589780261654,0.904743745647953,0.9758944305938556,0.950549444676852,0.9567800264532792,0.9743271672389456,0.9901263841984352,0.9848276939973756,0.9456172245578404,0.9890936783973224,0.9833912653051456,0.8777241132917186,0.9481753793108014,0.9252154590700506,0.956323876379087,0.9686825745291188,0.9456172245578404,0.758920049006676,0.99533293060142,0.7972395383399652,0.98088524263736,0.9832211365113346,0.9752978202208524,0.9881604511546204,0.8427134046458347,0.9620469358441142,catboost,sitewise,3,none,2850
0.97351753044208,0.9757649197212964,0.9810818911524016,0.976465476495876,0.9167347365025678,0.9757649197212964,0.9429976443939913,0.9750472826665444,0.9997895724530818,0.9993779658836656,0.992930356630624,0.9624275648982172,0.9854459359065648,0.9866078618958962,0.9591140518690024,0.8954371595171741,0.9656909203100186,0.9440652699315808,0.9403502691895624,0.991408118063561,0.9868081022942404,0.985810040204664,0.8999706640391154,0.9945327313444948,0.9549465093706394,0.8877098987232686,0.9406505015584258,0.8773444137864459,0.9570614402840556,0.9792298077370692,0.917243815599466,0.7740084721263287,0.99718921074054,0.7379883773353617,0.9645619352587924,0.9844854303933284,0.9308279597135454,0.9964474736621663,1.0,0.962728644937946,catboost,sitewise,4,none,2850
0.6801643648833486,0.7102393214177521,0.7415420852442238,0.7230023770980506,0.4182286022541478,0.7102393214177521,0.4581054096377453,0.6708715374486824,0.966590858764384,0.9483042294079111,0.746147315399809,0.6784759610540173,0.7509136314694852,0.6001861244647562,0.4702074973975812,0.3149306622311352,0.6096808929239437,0.3334077614823263,0.3493886439905698,0.7143529445814092,0.7276640112091421,0.7134017507440897,0.1639500814656981,0.6960848648681678,0.4694505307409117,0.4011901830470378,0.2858533267940671,0.1188965359538359,0.2992783907005903,0.0,0.1862789882747052,0.0,0.8695001529413398,0.2128613146285641,0.6709479944936096,0.7946957296880844,0.6042254837290099,0.893186737182033,0.7060856102176299,0.3774251018264918,catboost,sitewise,0,all,2850
0.6876551032159178,0.7170554377461376,0.7133946431295816,0.7229794223234934,0.4288884937837294,0.7170554377461376,0.4687525491253136,0.6790341942968346,0.9683664782032664,0.9518786930796556,0.7522849454098012,0.6478817346692282,0.779913878645933,0.7380987926646826,0.4399992231589754,0.2072389550577672,0.6654289159055348,0.2942759278281878,0.4231882531915018,0.7455089396737995,0.8143472638476822,0.7514823301850208,0.0,0.5565064944366013,0.4166704187088579,0.3976188913243653,0.4559180714670672,0.3569059472948089,0.1714269430028118,0.1408954848311727,0.0,0.0,0.7977409884393558,0.2128613146285641,0.6826169580545907,0.814428213377106,0.6289936843637189,0.8842503783714545,0.7599602579510415,0.4121958053074019,catboost,sitewise,1,all,2850
0.6899016987901192,0.7190245380187822,0.7332069481921857,0.719867819475119,0.4414070268997584,0.7190245380187822,0.4774108586737887,0.6790637000128933,0.9671538682200206,0.9488018721141196,0.7471942943797721,0.5916634265855344,0.7441372033702246,0.7246693146954334,0.4416582299772578,0.2241665399759747,0.5137385340269375,0.3198177041681344,0.3009769783155501,0.8643379716749646,0.918386231382374,0.7517333650665801,0.2287891990624896,0.7699111068908974,0.4401828302811841,0.442577177561987,0.3774940547271459,0.1584248137937183,0.1938832131132286,0.0,0.1617661395729213,0.0,0.8690065760789956,0.3010541625944192,0.6711184594419166,0.7849040014740096,0.583290728593567,0.8950932667351885,0.8422218250327742,0.4121958053074019,catboost,sitewise,2,all,2850
0.6739267546182376,0.7049378976067858,0.6332721362951551,0.6898070518909115,0.4030315512881008,0.7049378976067858,0.4291552732511983,0.6594911207993795,0.9616873232450686,0.9411702097303404,0.7652727051185106,0.6487563669270531,0.7442567997646989,0.7870630491460482,0.3731536897127084,0.0722238594208704,0.5735330546455654,0.1921088224684015,0.2761775188284061,0.7883968304271332,0.8308142695289251,0.7088700201120861,0.1617661395729213,0.7631641528774181,0.464370375695036,0.2145192100133268,0.3623583695736055,0.1176491218906292,0.3205392516677173,0.0,0.3618297299179909,0.0,0.8052885732235983,0.0,0.6649369193683361,0.7553786831474826,0.5733177899007307,0.8657025324465534,0.0,0.4154175069315625,catboost,sitewise,3,all,2850
0.6928449181551409,0.7217509845501363,0.7065359462211996,0.7214601840478876,0.4421806582216006,0.7217509845501363,0.4691754168192193,0.6830184408196885,0.9658695076456996,0.9467650142859946,0.794608779401118,0.6071186966761106,0.7283951892114707,0.7072661215917126,0.4558781630674538,0.315178623914317,0.6237657631634765,0.2625923210805705,0.3710251706878319,0.8186265460420457,0.8550266670505152,0.7043427271272694,0.0,0.8354493383084374,0.2315838879089297,0.263840364123528,0.336729824484796,0.1681578314472932,0.1922361246646111,0.0,0.2890448464043232,0.0,0.885238219056942,0.2128613146285641,0.6830089885131281,0.7366680753006326,0.5590160579823131,0.9030560063634832,0.8879823587092618,0.4796097132806463,catboost,sitewise,4,all,2850
