mcc,accuracy,precision,recall,f1-score,auc,model,hospital,method,n_calib,n_test,pca_var,n_features
0.377438761210835,0.7851500789889415,0.9221748400852878,0.8129699248120301,0.8641358641358642,0.836396374599866,logreg,AKS,raw,30,1266,none,2850
0.41172581477057507,0.7584067907280444,0.5338983050847458,0.6268656716417911,0.5766590389016019,0.7718292116222781,logreg,ARCHDAM,raw,30,3063,none,2850
0.27745587614561323,0.6203411244472521,0.3562778840025494,0.7443408788282291,0.4818965517241379,0.7453002621763114,logreg,B2K,raw,30,3166,none,2850
0.10114107707608128,0.4563253012048193,0.9490909090909091,0.4292763157894737,0.5911664779161948,0.6759574718045114,logreg,CHE,raw,30,664,none,2850
0.5637896462105874,0.8145539906103286,0.81,0.574468085106383,0.6721991701244814,0.8608933681722036,logreg,CMD,raw,30,426,none,2850
0.21182236862450426,0.6671554252199413,0.9472463768115942,0.6666666666666666,0.7825670498084292,0.733968453162122,logreg,GAK,raw,30,2728,none,2850
0.2945733973562388,0.5968586387434555,0.4463276836158192,0.8186528497409327,0.5776965265082267,0.7664303245159529,logreg,KAL,raw,30,573,none,2850
0.3157871278077113,0.637915543575921,0.3812688821752266,0.7732843137254902,0.5107244030756779,0.7638694597934298,logreg,KATMOJPRZ,raw,30,3339,none,2850
0.43753847188189327,0.7317073170731707,0.782258064516129,0.776,0.7791164658634538,0.8246,logreg,KIEG,raw,30,205,none,2850
0.3227521434908063,0.6585677749360613,0.7317708333333334,0.6314606741573033,0.6779252110977081,0.7238105557963525,logreg,KLU,raw,30,1564,none,2850
0.34004479013743627,0.6719492868462758,0.6666666666666666,0.610738255033557,0.637478108581436,0.7325513432895983,logreg,KUD,raw,30,631,none,2850
0.4260042555044661,0.6628175519630485,0.49808429118773945,0.896551724137931,0.6403940886699507,0.8507423371647509,logreg,LUMICE,raw,30,433,none,2850
0.4565210962992251,0.7314678448699067,0.7590529247910863,0.5930359085963003,0.6658521686010995,0.788095094418955,logreg,LUX_A,raw,30,2037,none,2850
0.4380241648393504,0.731610337972167,0.7507788161993769,0.8141891891891891,0.7811993517017828,0.8221047134090611,logreg,MKW,raw,30,503,none,2850
0.3486703009924586,0.6893939393939394,0.8627450980392157,0.6839378238341969,0.7630057803468208,0.7593957527548713,logreg,MOR,raw,30,264,none,2850
0.542683250326087,0.7704918032786885,0.6775431861804223,0.8077803203661327,0.7369519832985386,0.868599341542701,logreg,OST,raw,30,1098,none,2850
0.4515961374043208,0.7357575757575757,0.6544655929721815,0.6908809891808346,0.6721804511278195,0.7865322117110801,logreg,OTW,raw,30,1650,none,2850
-0.0229232450538081,0.4122448979591837,0.9398797595190381,0.40465918895599656,0.5657418576598311,0.48976390305121964,logreg,PIO,raw,30,1225,none,2850
