accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.7944572748267898,0.572289156626506,0.8407079646017699,0.6810035842293907,0.8851769911504425,0.5589564554948261,H1,catboost,raw,30,433,dann
0.798124760811328,0.6882667505504876,0.6616268521318416,0.6746839346284305,0.8204766994455639,0.5286380706508195,H10,catboost,raw,30,10452,dann
0.7900552486187845,0.7555555555555555,0.7034482758620689,0.7285714285714285,0.8331479421579533,0.5587026948417155,H11,catboost,raw,30,362,dann
0.7345971563981043,0.9315789473684211,0.7137096774193549,0.8082191780821918,0.8061793619025194,0.4404749502009214,H12,catboost,raw,30,1266,dann
0.8048780487804879,0.8383838383838383,0.7757009345794392,0.8058252427184466,0.8814609956131985,0.6122021417430311,H13,catboost,raw,30,205,dann
0.8218572331017057,0.6060606060606061,0.6128133704735376,0.6094182825484764,0.7862867988420995,0.49405097834715844,H14,catboost,raw,30,3166,dann
0.8080313418217434,0.6399548532731377,0.6782296650717703,0.6585365853658537,0.8250435606508209,0.525606728970963,H15,catboost,raw,30,3063,dann
0.7547169811320755,0.3206831119544592,0.7664399092970522,0.45217391304347826,0.8206511958360524,0.3783418808011909,H16,catboost,raw,30,3339,dann
0.8005050505050505,0.6651162790697674,0.6244541484716157,0.6441441441441441,0.8390659055124216,0.5062247544062826,H17,catboost,raw,30,1584,dann
0.7019360648356596,0.901689708141321,0.6873536299765808,0.7800664451827243,0.7738483275584225,0.3746758961250965,H18,catboost,raw,30,2221,dann
0.7196969696969697,0.6371681415929203,0.6857142857142857,0.6605504587155964,0.7643006888289907,0.4232137244464021,H19,catboost,raw,30,264,dann
0.8114754098360656,0.6539325842696629,0.8459302325581395,0.7376425855513308,0.8925806551107273,0.6062489481577,H2,catboost,raw,30,1098,dann
0.7765451664025357,0.6730769230769231,0.5384615384615384,0.5982905982905983,0.7850270524582451,0.45147920798027974,H20,catboost,raw,30,631,dann
