features,method,AUC_mean,AUC_std,MCC_mean,MCC_std
manual,raw,0.8034024571439228,0.04794018864872661,0.41314904277590875,0.09762314486407778
manual,sitewise,0.7989768307058936,0.052244605335200506,0.4092049405921877,0.10631652486288895
manual,combat,0.8091689372662,0.05214479225315799,0.4351492943625983,0.1095293578160029
manual,neurocombat,0.8093251416791067,0.05246462629086742,0.4350790547820129,0.10972576401067874
manual,covbat,0.7929518086984507,0.05263943078310309,0.4144963915582926,0.10682896615164793
dann (dann),raw,0.7959720169032399,0.05485187152999909,0.4598699553380332,0.10713026378946576
dann (baseline),raw,0.8026713968721373,0.05054476713627574,0.44937435131938847,0.10642885437295062
dann (mtl),raw,0.750008254199211,0.04988028371691819,0.34152100843741684,0.09426802999554285
