label,site_mcc,patho_auc,group
manual/raw,0.852501607132335,0.8034024571439228,manual
manual/sitewise,0.9753324318864731,0.7989768307058936,manual
manual/combat,0.9732793173836392,0.8091689372662,manual
manual/neurocombat,0.9727827990525212,0.8093251416791067,manual
manual/covbat,0.9296119671914754,0.7929518086984507,manual
dann/baseline,0.3074583036770167,0.8026713968721373,dann
dann/dann,0.17633541918089451,0.7959720169032399,dann
dann/mtl,0.7453667847682449,0.750008254199211,dann
