features,method,MCC_mean,MCC_std
manual,raw,0.852501607132335,0.0042724303485641
manual,sitewise,0.9753324318864731,0.002408377010885788
manual,combat,0.9732793173836392,0.0030339120727652423
manual,neurocombat,0.9727827990525212,0.0037988660665042393
manual,covbat,0.9296119671914754,0.0037683113993814484
dann (baseline),raw,0.3074583036770167,0.00925487730216281
dann (dann),raw,0.17633541918089451,0.012328028160140513
dann (mtl),raw,0.7453667847682449,0.03573521508814594
