accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.6974595842956121,0.5271317829457365,0.9379310344827586,0.674937965260546,0.8755747126436781,0.4946348545090155,H1,logreg,raw,30,433,dann_final
0.756601607347876,0.6908362989323843,0.7291079812206572,0.7094563727729557,0.811222833339399,0.5008392403308337,H10,logreg,raw,30,10452,dann_final
0.7790055248618785,0.8348623853211009,0.8053097345132744,0.8198198198198198,0.846889640812077,0.5349255192510706,H11,logreg,raw,30,362,dann_final
0.7701421800947867,0.9160387513455328,0.799812030075188,0.8539889613647768,0.7826853644011018,0.3427530310957449,H12,logreg,raw,30,1266,dann_final
0.7073170731707317,0.7777777777777778,0.728,0.7520661157024794,0.8009,0.3971648259726671,H13,logreg,raw,30,205,dann_final
0.7959570435881238,0.5557917109458024,0.6964047936085219,0.6182033096926713,0.802972434269835,0.4870639344388791,H14,logreg,raw,30,3166,dann_final
0.7231472412667319,0.4812925170068027,0.7039800995024875,0.5717171717171717,0.7686506599362639,0.3925864746214271,H15,logreg,raw,30,3063,dann_final
0.6292303084755915,0.3841931942919868,0.8578431372549019,0.530705079605762,0.8059086793655235,0.3565563262287566,H16,logreg,raw,30,3339,dann_final
0.7575757575757576,0.73582295988935,0.7337931034482759,0.7348066298342542,0.8447802175745656,0.5115532557357534,H17,logreg,raw,30,1584,dann_final
0.7469608284556506,0.8846893017296604,0.7833238797504254,0.8309265944645006,0.7711522885514221,0.3455381640015905,H18,logreg,raw,30,2221,dann_final
0.7537878787878788,0.8764705882352941,0.772020725388601,0.8209366391184573,0.8088009924833979,0.4410124531582234,H19,logreg,raw,30,264,dann_final
0.7595628415300546,0.6420361247947455,0.8947368421052632,0.7476099426386233,0.8758105221614848,0.5563853826682736,H2,logreg,raw,30,1098,dann_final
0.7543581616481775,0.7657992565055762,0.6912751677852349,0.7266313932980599,0.8175121430154987,0.5068482097231642,H20,logreg,raw,30,631,dann_final
0.6928571428571428,0.6989247311827957,0.8125,0.7514450867052023,0.7829166666666667,0.3624074076347202,H21,logreg,raw,30,140,dann_final
0.688588007736944,0.7837666455294864,0.6641590542718968,0.7190226876090751,0.7563538617216446,0.3815774262034752,H22,logreg,raw,30,3102,dann_final
0.5,0.9928571428571428,0.4572368421052631,0.6261261261261262,0.7827772556390977,0.2372039925669222,H23,logreg,raw,30,664,dann_final
0.6303780964797914,0.9019741320626276,0.572354211663067,0.7003171247357294,0.7603503910922185,0.3283209754403235,H24,logreg,raw,30,3068,dann_final
0.677780214959421,0.9123890389810884,0.6555740432612313,0.7629498144263354,0.774823236776295,0.342644304294369,H25,logreg,raw,30,4559,dann_final
0.7058823529411765,0.8267477203647416,0.6112359550561798,0.7028423772609819,0.7803987597105992,0.4434707414752931,H26,logreg,raw,30,1564,dann_final
0.656158357771261,0.9543543543543545,0.6483068135454917,0.7721088435374149,0.739933748400049,0.2315997394018914,H27,logreg,raw,30,2728,dann_final
0.6579406631762653,0.4952380952380952,0.8082901554404145,0.6141732283464567,0.7639487319334606,0.3703600564138848,H28,logreg,raw,30,573,dann_final
0.598989898989899,0.4507299270072992,0.7201166180758017,0.5544332210998878,0.6800257749379283,0.243980352770009,H29,logreg,raw,30,990,dann_final
0.8331885317115552,0.8728323699421965,0.8531073446327684,0.8628571428571429,0.8993699863539553,0.6503443459874523,H3,logreg,raw,30,1151,dann_final
0.6163265306122448,0.9491525423728814,0.6281276962899051,0.7559709241952233,0.5184851099432636,0.0173677420569016,H30,logreg,raw,30,1225,dann_final
0.7713717693836978,0.7701492537313432,0.8716216216216216,0.8177496038034865,0.8364505810157985,0.5213291453688431,H4,logreg,raw,30,503,dann_final
0.795774647887324,0.6985294117647058,0.6737588652482269,0.6859205776173285,0.8475301729501058,0.5348805554748826,H5,logreg,raw,30,426,dann_final
0.7918507609229258,0.7796610169491526,0.750816104461371,0.7649667405764967,0.8398936387650106,0.5786325638776479,H6,logreg,raw,30,2037,dann_final
0.5559139784946237,0.3211169284467713,0.8846153846153846,0.471190781049936,0.8204839654805028,0.2963171669852532,H7,logreg,raw,30,930,dann_final
0.8012121212121213,0.7268847795163584,0.7897990726429676,0.7570370370370371,0.8530451920898818,0.5907751207551272,H8,logreg,raw,30,1650,dann_final
0.711340206185567,0.5942028985507246,0.6871508379888268,0.6373056994818653,0.7884032570197539,0.4025798847231564,H9,logreg,raw,30,485,dann_final
0.6605080831408776,0.4964028776978417,0.9517241379310344,0.6524822695035462,0.8747126436781609,0.4583709865652736,H1,logreg,raw,30,433,dann_best
0.7516264829697665,0.684971098265896,0.7232394366197183,0.7035852934459922,0.806179979316034,0.4906602510252763,H10,logreg,raw,30,10452,dann_best
0.7734806629834254,0.8076923076923077,0.8362831858407079,0.8217391304347826,0.838495575221239,0.5119725937725731,H11,logreg,raw,30,362,dann_best
0.7804107424960506,0.909375,0.8204887218045113,0.8626482213438735,0.7613200699769225,0.3334165550469952,H12,logreg,raw,30,1266,dann_best
0.7170731707317073,0.7913043478260869,0.728,0.7583333333333333,0.7606,0.4207010482286398,H13,logreg,raw,30,205,dann_best
0.799115603284902,0.5633958103638368,0.6804260985352862,0.6164053075995175,0.7863624208439817,0.4858988285427819,H14,logreg,raw,30,3166,dann_best
0.7247796278158668,0.4832904884318766,0.7014925373134329,0.5722983257229832,0.7705722163859762,0.3937146361799107,H15,logreg,raw,30,3063,dann_best
0.6445043426175502,0.3939393939393939,0.8443627450980392,0.5372319688109162,0.7969290371717455,0.3650140250453163,H16,logreg,raw,30,3339,dann_best
0.7474747474747475,0.7192982456140351,0.7351724137931035,0.7271487039563438,0.8271301834530929,0.4922847495027798,H17,logreg,raw,30,1584,dann_best
0.805042773525439,0.8698553948832035,0.88712422007941,0.8784049424319011,0.7766498153455181,0.3876331930670734,H18,logreg,raw,30,2221,dann_best
0.7575757575757576,0.8771929824561403,0.7772020725388601,0.8241758241758241,0.822374662482668,0.4468884453105816,H19,logreg,raw,30,264,dann_best
0.7522768670309654,0.634584013050571,0.8901601830663616,0.7409523809523809,0.860598843026134,0.5433908753055111,H2,logreg,raw,30,1098,dann_best
0.7400950871632329,0.7557251908396947,0.6644295302013423,0.7071428571428572,0.8037567769111392,0.4784391852807741,H20,logreg,raw,30,631,dann_best
0.6857142857142857,0.6875,0.825,0.75,0.7452083333333335,0.3464511640778669,H21,logreg,raw,30,140,dann_best
0.7166344294003868,0.7891637220259128,0.7200429876410532,0.753020511379601,0.7708141282467511,0.4247700186646409,H22,logreg,raw,30,3102,dann_best
0.5075301204819277,0.976271186440678,0.4736842105263157,0.6378737541528239,0.7481790413533834,0.1950086580527247,H23,logreg,raw,30,664,dann_best
0.6707953063885267,0.8863232682060391,0.6466522678185745,0.7477522477522478,0.7467403245190584,0.3388431903558642,H24,logreg,raw,30,3068,dann_best
0.6966440008773854,0.904623225336731,0.6891292290626734,0.7823075712261923,0.7670618922991237,0.3441670522235845,H25,logreg,raw,30,4559,dann_best
0.7129156010230179,0.8228404099560761,0.6314606741573033,0.7145581691036237,0.7591488013869903,0.4512352885287997,H26,logreg,raw,30,1564,dann_best
0.6887829912023461,0.9474860335195532,0.6919624643002856,0.7998113652440462,0.7411209157980165,0.224223456452087,H27,logreg,raw,30,2728,dann_best
0.5933682373472949,0.4408284023668639,0.772020725388601,0.5612052730696798,0.7255522225252251,0.2639133859610575,H28,logreg,raw,30,573,dann_best
0.5969696969696969,0.45,0.7346938775510204,0.5581395348837209,0.6719598415652417,0.248304420209859,H29,logreg,raw,30,990,dann_best
0.8375325803649001,0.8684582743988685,0.867231638418079,0.8678445229681979,0.8976291591740955,0.6570229024599118,H3,logreg,raw,30,1151,dann_best
0.6138775510204082,0.9477806788511748,0.6264020707506471,0.7542857142857143,0.5390357413653359,0.0094880109954735,H30,logreg,raw,30,1225,dann_best
0.7395626242544732,0.7298050139275766,0.8851351351351351,0.8,0.8193138790964878,0.4534769382493321,H4,logreg,raw,30,503,dann_best
0.7793427230046949,0.6793893129770993,0.6312056737588653,0.6544117647058824,0.8271494338683588,0.4933835142463612,H5,logreg,raw,30,426,dann_best
0.7879234167893961,0.7815028901734105,0.735582154515778,0.757847533632287,0.8370895875387614,0.570334866138251,H6,logreg,raw,30,2037,dann_best
0.546236559139785,0.3222591362126246,0.9326923076923076,0.4790123456790123,0.8145242914979756,0.3205790321860782,H7,logreg,raw,30,930,dann_best
0.803030303030303,0.7280453257790368,0.794435857805255,0.7597930524759793,0.8455252480579899,0.5950300113890731,H8,logreg,raw,30,1650,dann_best
0.7443298969072165,0.6381909547738693,0.7094972067039106,0.671957671957672,0.7883667433453828,0.4652025136400579,H9,logreg,raw,30,485,dann_best
