TER_L,MKW,ARCHDAM,SZC,KUD,TOR,KATMOJPRZ,LUMICE,KAL,KLU,LUX_A,AKS,ZOZLO,STG1,GAK,OST,OTW,PRZ,CHE,CMD,MOR,PUS,SL2,SRK,B2K,KIEG,PIO,SLU,WLU,Z04O
0.0,0.019265007886206487,0.03844203883483661,0.05249783966058622,0.07826001081574097,0.09760947474120411,0.08613341521938381,0.09254981841951372,0.09126076308870902,0.07010605498821497,0.05749243433427326,0.018882667494598514,0.09327530195854937,0.05978473006912417,0.06879257891535466,0.09821654353040747,0.07803417524067605,0.08469711583409602,0.0900123494813073,0.050220728756795056,0.10351166771724009,0.08927851461262971,0.020778697421763456,0.03754449973872638,0.06802047854004725,0.08458902130562003,0.0398740779722422,0.07345006397615908,0.07241130861845518,0.08944284006691051
0.019265007886206487,0.0,0.04138414771323548,0.05127091509262674,0.07806351683449904,0.09496141601256258,0.08514780554790397,0.08944678393607415,0.08901173564252315,0.06644646073040744,0.05817184810582223,0.023424593802326997,0.08997980530403725,0.05473581432424888,0.06857755477200257,0.09738190265837322,0.07669251226179802,0.08126271391884551,0.0895422909813203,0.050514034302378136,0.1028362535415996,0.08811877876621993,0.03315821242801449,0.044249098497283874,0.06867825932455407,0.08284829670483584,0.043264206423017045,0.07392643206147313,0.07073811742617367,0.08616361561912027
0.03844203883483661,0.04138414771323548,0.0,0.01642862915047194,0.040961663326693015,0.06093394895168209,0.048642498618419475,0.05646194818102853,0.05477798169751947,0.03491853924420525,0.01939427027196315,0.028847745174015997,0.05725215657592628,0.02765496464183685,0.03217898963974665,0.06068220801380987,0.04088444002330663,0.04882416212309677,0.056481066407339735,0.013990416125955987,0.06685763685150788,0.052590104006930136,0.03655898463738394,0.008194667954708603,0.029731001680339913,0.04981653491327989,0.07342505940151517,0.03567251978353957,0.03590094695694607,0.053165438531317215
0.05249783966058622,0.05127091509262674,0.01642862915047194,0.0,0.026806338074071283,0.04494930362073077,0.034245777097515896,0.04010011835038445,0.03885653713404093,0.01840115216919377,0.008942984843644938,0.039993398881158916,0.04090345751894697,0.013382164540145998,0.01842334734696521,0.04611865656870944,0.025816386250435093,0.032346319061105175,0.04264255661096442,0.004475436288715305,0.05150583848753957,0.03705379635821789,0.050123179019995606,0.022328654122148944,0.017744632303532844,0.036041085671099045,0.08493189490479999,0.02285573893634824,0.020149554693253857,0.03684041460022821
0.07826001081574097,0.07806351683449904,0.040961663326693015,0.026806338074071283,0.0,0.021958366124866378,0.009497772219421231,0.019882310006294226,0.016298341841308038,0.018286332384676786,0.02186885619876084,0.06546690744934837,0.02162784849989679,0.028515500129028384,0.013899334133254747,0.02068971492345534,0.005404784394792871,0.016374385854031073,0.02725951530701268,0.029308094695908338,0.02667192760977404,0.015484202133045818,0.07360116912879476,0.04440918865072945,0.012417227784981172,0.024973787144234826,0.11164279218332308,0.00779900808903943,0.010990629590380309,0.01747058095593249
0.09760947474120411,0.09496141601256258,0.06093394895168209,0.04494930362073077,0.021958366124866378,0.0,0.014075315037381296,0.008643683977724479,0.0073363851151272514,0.029004888609548,0.041947765699114625,0.08380205122394466,0.009381744887315652,0.04087762000408729,0.03153576313875752,0.011104719582777355,0.02030878182176783,0.015003812098923727,0.026933788753628198,0.04779815721743377,0.012426936005939374,0.012937471547377646,0.0928607901087976,0.06485419113916721,0.03280370171455056,0.027892984440185432,0.1289653943456534,0.027311534965909868,0.02528494204949524,0.0096913809938372
0.08613341521938381,0.08514780554790397,0.048642498618419475,0.034245777097515896,0.009497772219421231,0.014075315037381296,0.0,0.014789520834137785,0.009804253449285531,0.02271548637179193,0.029419775745542758,0.07315480212015475,0.01650532835257591,0.03423148408411238,0.020556205846708753,0.01227875897319089,0.009030779565588593,0.015055329917479711,0.026550382716327887,0.036554685268267696,0.019549689344088583,0.010528679147804972,0.08100752601111266,0.05187150025315087,0.01949958986374478,0.024145159166951497,0.11801410473626976,0.013920182363280301,0.016032376781956494,0.013357819122501283
0.09254981841951372,0.08944678393607415,0.05646194818102853,0.04010011835038445,0.019882310006294226,0.008643683977724479,0.014789520834137785,0.0,0.006061160683328002,0.023395001998146658,0.038037075106713454,0.07892610345034934,0.007286668481226952,0.03464669245856296,0.02779672617235468,0.016596694853607503,0.017646105332557813,0.009855970237538562,0.026424873867767082,0.04331360308043384,0.017456831156135083,0.0113239685322841,0.0895859660267827,0.0612284159375073,0.02999407632877749,0.025891169432367224,0.125235830416572,0.02490593908294034,0.020910309504028137,0.0056504335085346856
0.09126076308870902,0.08901173564252315,0.05477798169751947,0.03885653713404093,0.016298341841308038,0.0073363851151272514,0.009804253449285531,0.006061160683328002,0.0,0.02357754743624704,0.035826728257000916,0.07757740935175003,0.009008338265368756,0.03533751879238493,0.025704451348108052,0.012383825912427166,0.014526850357832565,0.011007463308548114,0.02524693582649544,0.04163441988748362,0.01539990141230588,0.00840251950248663,0.08699125884971771,0.05869818627807224,0.02695101819334093,0.025432380245631343,0.12320589207136448,0.021486226583539072,0.019250565085024596,0.006535012204354607
0.07010605498821497,0.06644646073040744,0.03491853924420525,0.01840115216919377,0.018286332384676786,0.029004888609548,0.02271548637179193,0.023395001998146658,0.02357754743624704,0.0,0.019400740278198023,0.05623773820518605,0.023870246274717094,0.012581521062960517,0.01542863773385813,0.03352485318617252,0.014878045699680901,0.015099322038048039,0.030943888956709117,0.021508977530882965,0.0376038658228666,0.023203206192246615,0.06726106520940542,0.04052729797380434,0.018161061027457168,0.025738296094402483,0.10126351975954946,0.01851013086153502,0.008874710604057838,0.02003843999368161
0.05749243433427326,0.05817184810582223,0.01939427027196315,0.008942984843644938,0.02186885619876084,0.041947765699114625,0.029419775745542758,0.038037075106713454,0.035826728257000916,0.019400740278198023,0.0,0.04597269268770572,0.039114465278828725,0.020114215850092005,0.014807393306178536,0.04131717044659804,0.02185740476689647,0.030967110043275632,0.04047423499212733,0.010249977167413254,0.047807452819719126,0.03393616518430461,0.053969035552272074,0.02332931559857667,0.010679450420351493,0.03391439042717597,0.09138259461167884,0.016608592653792206,0.017878153119820925,0.03483026966510059
0.018882667494598514,0.023424593802326997,0.028847745174015997,0.039993398881158916,0.06546690744934837,0.08380205122394466,0.07315480212015475,0.07892610345034934,0.07757740935175003,0.05623773820518605,0.04597269268770572,0.0,0.0794483578893451,0.04602714570192488,0.056592526696468734,0.08529347524689423,0.06488657118571241,0.07065058304605928,0.07574337757940676,0.03807520701987305,0.0904514474077173,0.07656827097581545,0.019898594814603248,0.03055838125191395,0.05606038799650691,0.07273466096952368,0.05094269211810271,0.06114983542841574,0.05888616377057611,0.07549149603704874
0.09327530195854937,0.08997980530403725,0.05725215657592628,0.04090345751894697,0.02162784849989679,0.009381744887315652,0.01650532835257591,0.007286668481226952,0.009008338265368756,0.023870246274717094,0.039114465278828725,0.0794483578893451,0.0,0.03549323432861244,0.029143039650791517,0.018317141302210866,0.019004450429421713,0.01064501794750242,0.026382221993559798,0.04396083305794429,0.019750847341285786,0.012437555055420506,0.08941154395422787,0.06193350486423368,0.03119168514694099,0.023192187564552044,0.12471099314959287,0.02661295026598176,0.022156051312466507,0.006542482776690087
0.05978473006912417,0.05473581432424888,0.02765496464183685,0.013382164540145998,0.028515500129028384,0.04087762000408729,0.03423148408411238,0.03464669245856296,0.03533751879238493,0.012581521062960517,0.020114215850092005,0.04602714570192488,0.03549323432861244,0.0,0.021959171135119592,0.04522478989597794,0.025817682024685304,0.02673995196131566,0.03982167596081524,0.01634753039957189,0.04895309755771851,0.03472032744523075,0.0586951737499895,0.03458360405682012,0.024745927649020928,0.03481405035140672,0.0903689516589498,0.027103390781082645,0.01914064743977197,0.03179595348868792
