mcc_overall,mcc_H1,mcc_H10,mcc_H11,mcc_H12,mcc_H13,mcc_H14,mcc_H15,mcc_H16,mcc_H17,mcc_H18,mcc_H19,mcc_H2,mcc_H20,mcc_H21,mcc_H22,mcc_H23,mcc_H24,mcc_H25,mcc_H26,mcc_H27,mcc_H28,mcc_H29,mcc_H3,mcc_H30,mcc_H4,mcc_H5,mcc_H6,mcc_H7,mcc_H8,mcc_H9,model,method,fold,tag
0.23347315586712686,-0.003712107147807094,0.2869186065778526,0.0,0.0,0.0,0.39578837803951694,0.3474720447241868,0.32643790764590036,-0.005109521474328918,0.29479341342103194,-0.000843243731455019,0.0,0.0,0.0,0.09836673451645936,0.0,0.04264001011774359,0.21192316003260364,0.0,0.07684412180859428,0.09507139934055495,0.09633077789267576,0.11799442482189154,0.0,0.0,0.0,0.010659709903930345,0.07406578107242252,0.18087698695488252,0.0,catboost,raw,1,dann_final
0.22179220070045788,0.123783119415938,0.2712476030943505,0.0,0.0,0.0,0.3875054575464162,0.35068903480241115,0.310430216215504,0.06271333863275749,0.20332618360922727,0.22320661571614353,0.0,0.0,0.0,0.0886767767498577,-0.0011312230061988557,0.060319119105572146,0.15385141955245762,-0.00226500105777562,0.04098075694543782,-0.006199630876824201,0.06582390104084208,0.173718831043576,0.0,0.0,0.0,0.03373898035019971,0.08469277051115909,0.15213890616913567,0.0,catboost,raw,2,dann_final
0.2153989392648573,0.04395735616394503,0.26017594063290717,0.0,0.0,0.0,0.35457857054873737,0.31744383772384493,0.31484756686958876,-0.0057131566618982615,0.21127072875018377,-0.0008641493197630073,0.0,0.0,0.0,0.11161547889303844,0.0,0.05409992814787629,0.19327454585892978,0.04536992791209645,0.16599928992451218,0.09780819687941998,0.027109321067023465,0.0944959917844214,0.0,0.0,-0.0015027244672867531,0.020703027709558834,0.10480831491882442,0.1714286756402455,0.0,catboost,raw,3,dann_final
0.22596993779252764,-0.002142784754203506,0.2699039978615534,0.0,0.0,0.0,0.3616844341605662,0.3532704780836903,0.3021599097466211,0.08716854150921424,0.21213052136470467,0.0,0.0,0.0,0.0,0.13218343096476437,0.0,0.024418660930736396,0.2737617209140119,0.08309801861210117,0.23961413543285923,0.07389383125563263,0.0755654466804025,0.16416830311577352,0.0,-0.0013100636536091444,0.0,0.0928918601128366,0.0683449030259926,0.1518568562509001,0.0,catboost,raw,4,dann_final
0.22763858924544084,0.052878951277858716,0.2768855053561588,0.0,0.0,0.0,0.37205036340330666,0.3662996863457603,0.31335792746136193,0.07927701175077365,0.21939256573500768,0.0,0.0,0.0,0.0,0.09975157822723353,0.24217008507721918,0.040956111998392455,0.26054463973999337,0.08309801861210117,0.10194385803768122,0.06910129066099618,0.03320861614677604,0.08500626612089557,0.0,-0.0012962222393786019,0.0,0.00617409729850875,0.09851962020089891,0.1286793365530026,-0.0015622577108941587,catboost,raw,5,dann_final
0.23951438850931467,0.0,0.25517906844175103,0.0,0.0,0.0,0.3931259859455155,0.3509007396137697,0.4193867999251249,0.05724464621098501,0.17665844071771927,0.15724944746947453,-0.0022401262821661163,0.05570971571336009,0.0,0.2069576016830604,0.0,0.0,0.17663955966726486,-0.006775313048086196,-0.0014783978052592566,-0.002975401209284913,0.08696453145809202,0.06711479334885437,0.0,0.0,0.0,0.06646337791676418,0.22101250308923456,0.1404296334368209,0.0,catboost,raw,1,dann_best
0.22738925034610113,-0.0015027244672867531,0.23076496743238684,-0.001084498556370572,0.0,0.0,0.39057139632004706,0.34754348921722034,0.3935486152498487,-0.005094652720345648,0.10792838139234849,-0.0011926389645011341,0.0,0.11624539079237303,0.0,0.19563358054669555,0.0,-0.004146901665384521,0.14891255672854786,0.021675732441514755,0.05382297915547601,-0.002429176232110022,0.07809296726163893,0.2298520241231798,0.0,0.0,0.0,0.08072542627188993,0.1991112790144902,0.16199935280281993,0.0,catboost,raw,2,dann_best
0.2381460935349988,-0.003361459670165774,0.25921875729628585,0.0,0.0,0.0,0.4013544076625655,0.31427253794575294,0.43698438840550397,0.03302530593379449,0.1568815854648695,0.1247764558742551,0.0,0.17400886145711877,0.0,0.16054006907554863,0.0,0.05409992814787629,0.13990716744389228,0.09904669974414919,0.05382297915547601,-0.002975401209284913,0.06409255983537024,0.1360047084897254,0.0,0.0,0.0,0.06842442509635818,0.1655920499469022,0.17194868634966956,0.0,catboost,raw,3,dann_best
0.2341628934631527,-0.002624611741887827,0.25903059927371397,0.0,0.0,0.0,0.4014406413462772,0.38104921878513354,0.3903979977875407,-0.008084980255210945,0.13951560295145574,-0.001192863906485418,-0.002248874162118164,-0.0027859449796831205,0.0,0.16381751477392048,0.0,-0.0023863530737784455,0.1855275257583668,0.02628542829685895,-0.0020913629307735544,0.0,0.08772989035519313,0.16445681998350942,0.0,0.0,0.0,0.011860413955396682,0.13641695961859368,0.1334880593549038,0.0,catboost,raw,4,dann_best
0.24033225580468084,0.12425654285093023,0.2512272345809417,-0.0010847033351572238,0.0,0.0,0.40626791882702423,0.35478878933243935,0.43135840496412414,0.035209344515801856,0.14706539728067147,0.2572982151831591,-0.0022405535747411043,0.13037690372511887,0.0,0.17455065259273853,0.0,-0.002394221567561868,0.17211071354430102,0.08418949023619682,-0.002958190866188296,0.07628171650905591,0.12302638175926073,0.11334448176523602,0.0,0.0,0.0,0.09367329064006351,0.14941219146949938,0.13126302412521068,0.0,catboost,raw,5,dann_best
0.24377218636087297,0.075537590270589,0.3101911313713115,-0.0015338569230049098,-0.0022208974699142476,0.0,0.3493892440799094,0.41561013827860177,0.397934834889166,0.017767303050952084,0.2434967478258219,-0.0011926389645011341,-0.006340212003712583,-0.0032391949399245613,-0.0013855900021265087,0.10206642883058381,0.0,0.008955539285194969,0.15950063301142126,-0.005048117385538139,0.08233494055815745,0.026238281663541363,0.08524369562189801,-0.005858229703240482,-0.001460815963168974,-0.0031759776524676524,-0.003978082098973888,0.0027522984316097937,0.22153117488280175,0.04973563190875078,-0.0037991989570037446,logreg,raw,1,dann_final
0.23787946031550142,0.13523649144608632,0.2846936652193595,-0.0015338569230049098,-0.0018131844979539945,-0.0008845685913894489,0.33799158120868805,0.42796051510199656,0.390822495372311,0.025277726402184106,0.19761691780346133,-0.002066489473862566,0.02974277665664386,-0.004861081593716974,-0.0007998201779814314,0.10206642883058381,-0.0007998201779814314,0.034393567846874085,0.14794886260812296,-0.005550709325884354,0.18593958375030886,0.10062188974368136,0.11540855303634598,0.03775271130246028,-0.001162330898507956,0.0823688707883921,0.0480886721054616,-0.011316439784001575,0.15543744511190688,0.042656813709067855,-0.0021926425308837934,logreg,raw,2,dann_final
0.22751921972695122,0.025713830293143242,0.2902971879390387,0.0,-0.002564712968486788,-0.0008845685913894489,0.3192433571348416,0.35347822362041376,0.4042487782625517,-0.008478773282643425,0.20106524857012395,0.08719634695222454,0.03866121138762425,-0.004582639781738028,-0.0011312230061988557,0.0844873155903176,0.0,0.04706004925275121,0.11320642164497029,-0.003203496706080863,0.04436985962521218,0.043657283653954146,0.04133186359829807,-0.0032065693043622323,0.0,0.06990387839318621,-0.003361459670165774,0.015593173416571057,0.18987215156926524,0.054720930537906255,-0.0026856805001151877,logreg,raw,3,dann_final
0.24574667944748418,0.05690605122379998,0.3172696559556751,-0.0015573652311005053,-0.002899532938407584,0.0,0.3429620483053862,0.3858613132173301,0.40449964800601557,0.03123654311340912,0.2501080507652254,0.11036933645885497,0.038492505523765284,-0.005089772311349198,-0.0011314363242415513,0.08392398381250389,0.0,0.019947193156422276,0.13331623747025753,-0.00506757101326185,0.21037311387450922,0.09808820011400747,0.14703960264574428,-0.004118981329984838,-0.001838672484952469,-0.0026208674910384745,-0.0030068672578528826,0.025247734556403383,0.1773803611626772,0.08895619438663452,-0.00310203641142137,logreg,raw,4,dann_final
0.24886938836926686,0.061634459142841484,0.2998880523818962,-0.0010847033351572238,-0.002593176842201002,-0.0008847354445557115,0.3544930675980309,0.43833278024388866,0.40580465739979366,0.008856491715003963,0.2534874110609415,-0.0023870765709112177,-0.004482373058584955,-0.006441754554991392,0.0,0.07726288385936513,-0.001099454647943444,0.012711324123617768,0.18276971188378502,-0.003924584326074982,0.16075277797661594,0.09203577072687989,0.11890583853445184,0.042443035278971426,-0.001838672484952469,-0.0018333076417437612,0.043956662506400096,-0.009216248084967769,0.1971088879183959,0.09181890806902325,0.0841100350246955,logreg,raw,5,dann_final
0.2525551608786296,-0.0026241146868144637,0.28229546739425476,-0.001084498556370572,-0.0018131844979539945,0.0,0.32552921733515966,0.39806781548544523,0.5262374349457709,0.04314877743959142,0.20214900234736302,-0.0011926389645011341,-0.0054897501274411755,0.04417271617011055,0.0,0.15147011007184438,-0.001099247379238369,0.03261159521827647,0.21406091077204603,0.03229475358093404,0.19405104009910543,0.02098554836837626,0.12370958053422339,-0.0037029759323229873,-0.0011926389645011341,-0.001295977202186652,-0.0030062978115667285,0.022068720405746756,0.2331251609038585,0.03117308236596238,-0.003101448716641323,logreg,raw,1,dann_best
0.24031299787773913,-0.0036826414213663866,0.2850295659478113,-0.0015338569230049098,-0.001281994390071487,0.0,0.2845405758555955,0.4192549392900208,0.47515046152886437,0.05005856251968271,0.172695973915602,-0.000843243731455019,0.05931394256372127,-0.00760949389356336,0.0,0.1387024599862277,0.0,0.029476143736622506,0.2041943607201075,0.007590721697045351,0.24454469685162802,0.08703665841584483,0.05282139174809575,-0.0032065693043622323,-0.0008218147094106466,0.051982960637772135,0.03777147972925188,0.017131665589855086,0.223359917230173,0.024691819534648492,-0.003101448716641323,logreg,raw,2,dann_best
0.23902961090590905,0.04059057244593018,0.27326074024121,-0.0024259258692811573,-0.002564712968486788,0.0,0.28069376285928704,0.37063453613619113,0.5554133676223066,0.036861875897823915,0.131780388399551,-0.0021177216106361397,-0.0031683151500034442,0.05057301676502609,-0.0007998201779814314,0.10968014878400635,0.0,-0.009252738749157288,0.21021143854674185,-0.006410614887766303,0.09961659935005901,0.02098554836837626,0.11222211469038257,-0.004140442842424609,-0.001162330898507956,-0.0029299407012213547,0.0480886721054616,-0.012400049287837826,0.23429177647676055,0.012315005771591746,-0.0026856805001151877,logreg,raw,3,dann_best
0.24960248394085177,0.07088506550796919,0.2944420099297652,0.0,-0.0022455455470150204,-0.0008847354445557115,0.30853969134798437,0.3703487255308193,0.4894879074365749,0.025805653736314084,0.2162913346355356,-0.001192863906485418,-0.006364971850728824,0.030475088443961,-0.0013858513114662328,0.21401002381667888,-0.0013466782293483938,0.04389287581384074,0.23077434451335171,0.04686437592726447,0.2441613354180991,0.029790398918895268,0.09563831946093765,0.04836923220962054,0.1313042246991726,-0.0026208674910384745,-0.0033620964500684575,0.017221924695415964,0.24592598256368953,0.04049122752811456,-0.0026861893631725487,logreg,raw,4,dann_best
0.2496396616507357,0.0598726281092311,0.2760394386407927,-0.0010847033351572238,-0.0018333076417437612,-0.0008847354445557115,0.31729791355093373,0.39971933221094175,0.5198508514807207,0.029519768193021417,0.21007720577311922,-0.001192863906485418,-0.006341422154027861,-0.00580487550091893,-0.0007999709882448966,0.1448021650977473,-0.001555156519931032,0.010693794903022542,0.20586514428433178,0.033667561783167634,0.13061385345931603,0.06151457191015059,0.1938421168399302,0.05691003519598145,-0.0014239613409156846,-0.0018333076417437612,-0.0026037782196164775,-0.012374231611598346,0.29960516806299414,0.0009418920098269615,-0.003125398094838118,logreg,raw,5,dann_best
