accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.7944572748267898,0.572289156626506,0.8407079646017699,0.6810035842293907,0.8851769911504425,0.5589564554948261,H25,catboost,raw,30,433,dann
0.798124760811328,0.6882667505504876,0.6616268521318416,0.6746839346284305,0.8204766994455639,0.5286380706508195,H1,catboost,raw,30,10452,dann
0.7900552486187845,0.7555555555555555,0.7034482758620689,0.7285714285714285,0.8331479421579533,0.5587026948417155,H27,catboost,raw,30,362,dann
0.7345971563981043,0.9315789473684212,0.7137096774193549,0.8082191780821918,0.8061793619025194,0.4404749502009214,H14,catboost,raw,30,1266,dann
0.8048780487804879,0.8383838383838383,0.7757009345794392,0.8058252427184466,0.8814609956131985,0.6122021417430311,H29,catboost,raw,30,205,dann
0.8218572331017057,0.6060606060606061,0.6128133704735376,0.6094182825484764,0.7862867988420995,0.4940509783471584,H4,catboost,raw,30,3166,dann
0.8080313418217434,0.6399548532731377,0.6782296650717703,0.6585365853658537,0.8250435606508209,0.525606728970963,H7,catboost,raw,30,3063,dann
0.7547169811320755,0.3206831119544592,0.7664399092970522,0.4521739130434782,0.8206511958360524,0.3783418808011909,H3,catboost,raw,30,3339,dann
0.8005050505050505,0.6651162790697674,0.6244541484716157,0.6441441441441441,0.8390659055124216,0.5062247544062826,H12,catboost,raw,30,1584,dann
0.7019360648356596,0.901689708141321,0.6873536299765808,0.7800664451827243,0.7738483275584225,0.3746758961250965,H9,catboost,raw,30,2221,dann
0.7196969696969697,0.6371681415929203,0.6857142857142857,0.6605504587155964,0.7643006888289907,0.4232137244464021,H28,catboost,raw,30,264,dann
0.8114754098360656,0.6539325842696629,0.8459302325581395,0.7376425855513308,0.8925806551107273,0.6062489481577,H17,catboost,raw,30,1098,dann
0.7765451664025357,0.6730769230769231,0.5384615384615384,0.5982905982905983,0.7850270524582451,0.4514792079802797,H21,catboost,raw,30,631,dann
0.75,0.6984126984126984,0.7333333333333333,0.7154471544715447,0.7833333333333333,0.4932200252078105,H30,catboost,raw,30,140,dann
0.7504835589941973,0.6745182012847966,0.5727272727272728,0.6194690265486725,0.7799346108437017,0.4389172846148579,H5,catboost,raw,30,3102,dann
0.4337349397590361,0.9171974522292994,0.2840236686390532,0.4337349397590361,0.6487644317139662,0.2012211208683526,H20,catboost,raw,30,664,dann
0.6065840938722294,0.8938428874734607,0.4320164186762442,0.5824974057419579,0.730105629201474,0.3575738706389598,H6,catboost,raw,30,3068,dann
0.7356876508006142,0.8368945868945868,0.5462575546257554,0.6610407876230661,0.7839832666873632,0.4878583747309145,H2,catboost,raw,30,4559,dann
0.8152173913043478,0.6798941798941799,0.6047058823529412,0.6400996264009963,0.7946847079481485,0.5179754194575195,H13,catboost,raw,30,1564,dann
0.4468475073313783,0.9907321594068582,0.4162772585669781,0.5862352618590623,0.7712081386292835,0.170006827519207,H8,catboost,raw,30,2728,dann
0.7731239092495636,0.5448275862068965,0.5524475524475524,0.5486111111111112,0.7620426085542364,0.3971228017855318,H22,catboost,raw,30,573,dann
0.7444444444444445,0.7060240963855422,0.6910377358490566,0.698450536352801,0.788060870724715,0.4768420987345615,H18,catboost,raw,30,990,dann
0.788879235447437,0.645224171539961,0.8443877551020408,0.7314917127071823,0.872109515743056,0.5764504826383441,H16,catboost,raw,30,1151,dann
0.6473469387755102,0.5781893004115226,0.5531496062992126,0.5653923541247485,0.6553690464424164,0.2691201207783374,H15,catboost,raw,30,1225,dann
0.7157057654075547,0.6879432624113475,0.7791164658634538,0.7306967984934086,0.7878759131012237,0.4358553276170914,H23,catboost,raw,30,503,dann
0.7793427230046949,0.82,0.5189873417721519,0.6356589147286822,0.8158652937842432,0.5149388178607379,H26,catboost,raw,30,426,dann
