accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test
0.8143759873617693,0.9216683621566633,0.8515037593984962,0.8851978505129457,0.8544070572470781,0.4133956893033901,AKS,raw,30,1266
0.7855044074436827,0.5901840490797546,0.5982587064676617,0.5941939468807906,0.8085590198630574,0.4484489743547014,ARCHDAM,raw,30,3063
0.7005685407454201,0.42370255615801705,0.7283621837549934,0.5357492654260528,0.7900532898853977,0.36379892135441927,B2K,raw,30,3166
0.4894578313253012,0.9719298245614035,0.4555921052631579,0.620380739081747,0.7445077537593985,0.17558208599634484,CHE,raw,30,664
0.7981220657276995,0.7669902912621359,0.5602836879432624,0.6475409836065574,0.8649993778773174,0.5232217774880364,CMD,raw,30,426
0.5648826979472141,0.9660766961651918,0.5344757241942064,0.6882059364328867,0.7436646355204609,0.2225547791226184,GAK,raw,30,2728
0.6212914485165794,0.46629213483146065,0.8601036269430051,0.604735883424408,0.7949277338423779,0.3508674515607839,KAL,raw,30,573
0.6211440551063192,0.3789757412398922,0.8615196078431373,0.5263946087607637,0.8083752030340475,0.3501743812633049,KATMOJPRZ,raw,30,3339
0.7463414634146341,0.7703703703703704,0.832,0.8,0.8344,0.4572522603876657,KIEG,raw,30,205
0.6867007672634271,0.7915451895043731,0.6101123595505618,0.6890862944162437,0.7522805321241623,0.39713666463179054,KLU,raw,30,1564
0.7496038034865293,0.7631578947368421,0.6812080536912751,0.7198581560283688,0.8171795957030856,0.4974217288627192,KUD,raw,30,631
0.6997690531177829,0.5306122448979592,0.896551724137931,0.6666666666666666,0.8782567049808429,0.4734670097788847,LUMICE,raw,30,433
0.7579774177712322,0.7832446808510638,0.6409140369967355,0.7049670855774985,0.8298833413467621,0.5105365798815541,LUX_A,raw,30,2037
0.7495029821073559,0.7428571428571429,0.8783783783783784,0.804953560371517,0.8319297558427993,0.4745026984439184,MKW,raw,30,503
0.7386363636363636,0.8563218390804598,0.772020725388601,0.8119891008174387,0.8014303437203532,0.3927951799288544,MOR,raw,30,264
0.761384335154827,0.6436781609195402,0.897025171624714,0.7495219885277247,0.8941310059995083,0.5601290548818334,OST,raw,30,1098
0.7436363636363637,0.6485411140583555,0.7557959814528593,0.6980728051391863,0.838903690782367,0.4817977141982243,OTW,raw,30,1650
0.48489795918367345,0.94,0.48662640207075064,0.641273450824332,0.4787695766988261,-0.026569488527360432,PIO,raw,30,1225
0.7512626262626263,0.6972586412395709,0.8068965517241379,0.7480818414322251,0.8441379310344828,0.5102706802068321,PRZ,raw,30,1584
0.7790055248618785,0.7896825396825397,0.8805309734513275,0.8326359832635983,0.8509565330557001,0.5168372614713913,PUS,raw,30,362
0.7071428571428572,0.7532467532467533,0.725,0.7388535031847133,0.7841666666666667,0.4061811972299616,SL2,raw,30,140
0.779828905898244,0.8742655699177438,0.8440158820192853,0.8588744588744589,0.7915336353526021,0.3602203676772636,SLU,raw,30,2221
0.7876288659793814,0.7134831460674157,0.7094972067039106,0.711484593837535,0.8572315332091868,0.5434659174551207,SRK,raw,30,485
0.5928931783285808,0.9473415132924335,0.5138657792567942,0.6663070837828119,0.7772838669839648,0.33337643254188215,STG1,raw,30,4559
0.6746077305778798,0.5700309799445622,0.8206572769953052,0.6727605118829981,0.8025913339641639,0.39396082164138074,SZC,raw,30,10452
0.6262626262626263,0.4738878143133462,0.7142857142857143,0.5697674418604651,0.719828227161918,0.27996200377409936,TER_L,raw,30,990
0.4666666666666667,0.29369627507163326,0.9855769230769231,0.45253863134657835,0.8951163967611336,0.2915511626051305,TOR,raw,30,930
0.6088657105606258,0.9054545454545454,0.5377969762419006,0.6747967479674797,0.7412303270718422,0.315987188293413,WLU,raw,30,3068
0.6744036105738234,0.7793827971109653,0.6378291241268136,0.7015366430260047,0.7357264621232031,0.3597314948822662,Z04O,raw,30,3102
0.8271068635968722,0.8491083676268861,0.8742937853107344,0.8615170494084899,0.9140267309433624,0.6320678042533208,ZOZLO,raw,30,1151
0.815955766192733,0.9150849150849151,0.8609022556390977,0.8871670702179176,0.8294917367676617,0.3961575467834921,AKS,sitewise,30,1266
0.7414299706170421,0.5057803468208093,0.6529850746268657,0.5700325732899023,0.7827473962634812,0.3958912483065594,ARCHDAM,sitewise,30,3063
0.6999368288060644,0.43353373413493657,0.8641810918774967,0.5774021352313167,0.8466188629101846,0.43711197588678463,B2K,sitewise,30,3166
0.5858433734939759,0.9637883008356546,0.569078947368421,0.7156153050672182,0.7367833646616542,0.18788676601209287,CHE,sitewise,30,664
0.7676056338028169,0.6166666666666667,0.7872340425531915,0.6915887850467289,0.8410352121438348,0.5193107238015747,CMD,sitewise,30,426
0.6730205278592375,0.9539895165987187,0.6682986536107711,0.7859884836852208,0.7685421260312227,0.23958690508430389,GAK,sitewise,30,2728
0.6335078534031413,0.4749262536873156,0.8341968911917098,0.6052631578947368,0.7848786473956912,0.35170430933000635,KAL,sitewise,30,573
