Hospital,Accuracy,Precision,Recall,F1-Score,AUC,MCC
ZOZLO,0.7798851098750798,0.8069390039171797,0.758282208588957,0.7818543285740105,0.8621019989866657,0.5612706582535433
ZOZLO,0.7795821549128729,0.7927927927927928,0.7698625245491877,0.7811594202898551,0.8626726437443207,0.5594820906038129
ZOZLO,0.7779501688418363,0.7920191246781905,0.7678730611517205,0.7797592106454241,0.8632823183384222,0.5562494594206723
ZOZLO,0.7765296803652968,0.7972572275759822,0.7607427055702918,0.7785720749253461,0.8624981444049531,0.5538908039063799
ZOZLO,0.7835343567251462,0.8034124629080118,0.7679489452224783,0.7852805220701532,0.8649910779898913,0.56785179020459
