accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.6951501154734411,0.525691699604743,0.9172413793103448,0.6683417085427136,0.8781130268199234,0.4793498972141671,H1,catboost,raw,30,433,manual_no_scaler
0.6630309988518944,0.5592485549132948,0.8176056338028169,0.664187643020595,0.793481404144072,0.3747953469155333,H10,catboost,raw,30,10452,manual_no_scaler
0.7817679558011049,0.7951807228915663,0.8761061946902655,0.8336842105263158,0.8488092139510671,0.5237385602476983,H11,catboost,raw,30,362,manual_no_scaler
0.8167456556082149,0.9253578732106339,0.8505639097744361,0.8863858961802155,0.8591481798555796,0.42731441287202915,H12,catboost,raw,30,1266,manual_no_scaler
0.7463414634146341,0.7744360902255639,0.824,0.7984496124031008,0.8298000000000001,0.4588326057145828,H13,catboost,raw,30,205,manual_no_scaler
0.6964624131396083,0.41935483870967744,0.7270306258322237,0.5319045299561617,0.7831451784094636,0.35787960420955,H14,catboost,raw,30,3166,manual_no_scaler
0.7838720208945479,0.5889724310776943,0.5845771144278606,0.5867665418227216,0.8085182762592527,0.44044430479277,H15,catboost,raw,30,3063,manual_no_scaler
0.6118598382749326,0.37247608926673753,0.8590686274509803,0.519644180874722,0.8017158805654644,0.3387764441532803,H16,catboost,raw,30,3339,manual_no_scaler
0.7411616161616161,0.6850763807285546,0.8041379310344827,0.7398477157360406,0.8352840110794428,0.4917494415915244,H17,catboost,raw,30,1584,manual_no_scaler
0.7766771724448447,0.8724279835390947,0.841747022121384,0.8568129330254042,0.7872485615279632,0.35155347066300224,H18,catboost,raw,30,2221,manual_no_scaler
0.75,0.8757396449704142,0.7668393782383419,0.8176795580110497,0.8090928993651025,0.43519436440810055,H19,catboost,raw,30,264,manual_no_scaler
0.7814207650273224,0.6683760683760683,0.8947368421052632,0.7651663405088063,0.8947645374700978,0.5898671930520321,H2,catboost,raw,30,1098,manual_no_scaler
0.7480190174326465,0.7622641509433963,0.6778523489932886,0.7175843694493783,0.8111030493580829,0.4942837899933755,H20,catboost,raw,30,631,manual_no_scaler
0.7142857142857143,0.7631578947368421,0.725,0.7435897435897436,0.7775000000000001,0.42219468881448274,H21,catboost,raw,30,140,manual_no_scaler
0.6831076724693746,0.7670316301703163,0.6775926921010209,0.7195435092724679,0.7439685022868576,0.36217726652180016,H22,catboost,raw,30,3102,manual_no_scaler
0.49698795180722893,0.9691780821917808,0.4654605263157895,0.6288888888888889,0.7385162124060151,0.17061659256093303,H23,catboost,raw,30,664,manual_no_scaler
0.5961538461538461,0.8991097922848664,0.5235421166306695,0.6617526617526618,0.7360484627365269,0.2973519900625873,H24,catboost,raw,30,3068,manual_no_scaler
0.5874095196314981,0.9461976202793585,0.507210205213533,0.6604080158873443,0.7742459082129063,0.32754247400399417,H25,catboost,raw,30,4559,manual_no_scaler
0.6847826086956522,0.7831669044222539,0.6168539325842697,0.6901319924575738,0.7471810089020772,0.3896806512054346,H26,catboost,raw,30,1564,manual_no_scaler
0.5780791788856305,0.9642857142857143,0.5507955936352509,0.7011165930927032,0.7452435976180061,0.2237642375061165,H27,catboost,raw,30,2728,manual_no_scaler
0.62478184991274,0.4680232558139535,0.8341968911917098,0.5996275605214153,0.7903736023997818,0.34023414727544815,H28,catboost,raw,30,573,manual_no_scaler
0.6252525252525253,0.4732824427480916,0.7230320699708455,0.5720876585928489,0.7206122899590395,0.2826108827218409,H29,catboost,raw,30,990,manual_no_scaler
0.8166811468288445,0.835357624831309,0.8742937853107344,0.8543823326432022,0.902781497493974,0.6085144103483684,H3,catboost,raw,30,1151,manual_no_scaler
0.4897959183673469,0.9377049180327869,0.49352890422778256,0.6466930469191634,0.4841294742071274,-0.037130815209891865,H30,catboost,raw,30,1225,manual_no_scaler
0.7495029821073559,0.7428571428571429,0.8783783783783784,0.804953560371517,0.8262175218696958,0.4745026984439184,H4,catboost,raw,30,503,manual_no_scaler
0.8192488262910798,0.8018867924528302,0.6028368794326241,0.6882591093117408,0.872863008585293,0.5759503618616192,H5,catboost,raw,30,426,manual_no_scaler
0.7555228276877761,0.7788079470198676,0.6398258977149075,0.7025089605734767,0.8258402907414725,0.5053097672617602,H6,catboost,raw,30,2037,manual_no_scaler
0.4752688172043011,0.29651162790697677,0.9807692307692307,0.45535714285714285,0.8932053057745578,0.2948036367187966,H7,catboost,raw,30,930,manual_no_scaler
